file_id,organism,locus_tag,ess,conf,conf_bos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0022182844,0.013902548,0.0080604162
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.36548102,0.3984273,0.38195416
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.012484532,0.020046884,0.016265708
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.3473259,0.124681056,0.23600347800000002
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.03290172,0.018912425,0.025907072500000003
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.027655441,0.17640318,0.1020293105
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.02017212,0.016366115,0.0182691175
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.048478726,0.29909474,0.17378673300000003
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.5879784,0.13593064,0.36195452
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.03303966,0.0016422652,0.0173409626
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.005888389,0.061952513,0.033920451
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.012637229,0.012219005,0.012428116999999999
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.7324549,0.9138407,0.8231478
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.68538654,0.7774868,0.73143667
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.02089342,0.08594764,0.05342053
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.5177415,0.3526258,0.43518365
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.04192243,0.07542405,0.05867324
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.009236075,0.003154792,0.0061954335
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.312672,0.0013366318,0.1570043159
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.009491203,0.018918926,0.0142050645
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8268571,0.82119036,0.82402373
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.37233585,0.489627,0.43098142500000003
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.77045745,0.97281396,0.871635705
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.93722624,0.9894944,0.96336032
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9298551,0.9759856,0.9529203500000001
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.12448243,0.4234285,0.273955465
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9481441,0.9298931,0.9390186
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.016953604,0.0052081794,0.011080891700000001
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.90049005,0.9316396,0.9160648250000001
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.56787056,0.4789371,0.52340383
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.6601023,0.7502769,0.7051896
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.075912364,0.43023896,0.253075662
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.021361979,0.003131677,0.012246828
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.00015547512,0.0013439282,0.0007497016599999999
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.001215246,0.061345395,0.0312803205
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.0025409926,0.0062634884,0.0044022405
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.38235545,0.032487266,0.207421358
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.0064067435,0.064996995,0.035701869250000004
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.049706396,0.05227141,0.050988903
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.013084368,0.031860333,0.0224723505
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.011355342,0.09055999,0.050957666000000006
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.0073983236,0.006956179,0.0071772513
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.0022627616,0.010281851,0.0062723063
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0014062291,0.08001565,0.04071093955
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.26635018,0.08413055,0.175240365
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9157466,0.9566485,0.9361975499999999
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.0031104276,0.039718896,0.0214146618
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.0013364422,0.003025094,0.0021807681
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.2093381,0.57082134,0.39007971999999996
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.29747108,0.9207987,0.60913489
