file_id,organism,locus_tag,ess,conf,conf_eos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0022182844,0.05427317,0.0282457272
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.36548102,0.30304396,0.33426248999999997
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.012484532,0.05927424,0.035879386
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.3473259,0.10231977,0.224822835
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.03290172,0.10440409,0.068652905
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.027655441,0.24278305,0.1352192455
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.02017212,0.004802279,0.0124871995
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.048478726,0.30271155,0.17559513799999998
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.5879784,0.18125132,0.38461486
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.03303966,0.08937505,0.061207355
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.005888389,0.06374784,0.0348181145
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.012637229,0.014070108,0.013353668499999999
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.7324549,0.9146691,0.823562
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.68538654,0.6717101,0.67854832
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.02089342,0.007981166,0.014437293
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.5177415,0.119035706,0.318388603
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.04192243,0.086042665,0.0639825475
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.009236075,0.023512518,0.0163742965
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.312672,0.17119507,0.241933535
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.009491203,0.003494004,0.0064926035
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8268571,0.94204104,0.8844490700000001
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.37233585,0.6328952,0.502615525
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.77045745,0.87425685,0.82235715
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.93722624,0.9528929,0.94505957
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9298551,0.9773791,0.9536171
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.12448243,0.5440116,0.33424701500000004
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9481441,0.98253953,0.965341815
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.016953604,0.36975747,0.193355537
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.90049005,0.98344433,0.94196719
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.56787056,0.6023676,0.58511908
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.6601023,0.8029081,0.7315052
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.075912364,0.07538428,0.07564832199999999
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.021361979,0.057380658,0.0393713185
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.00015547512,0.0009054978,0.0005304864599999999
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.001215246,0.027755763,0.0144855045
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.0025409926,0.005630476,0.004085734299999999
