file_id,organism,locus_tag,ess,conf,conf_bos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.02111127,0.21361765,0.11736446
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.55480313,0.5305688,0.542685965
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.005915537,0.04805535,0.026985443499999998
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.31530145,0.4826862,0.398993825
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.5503662,0.018061398,0.284213799
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.12514779,0.06996174,0.097554765
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0047607343,0.0076902453,0.006225489799999999
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.19769898,0.087276265,0.1424876225
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.01201606,0.06326558,0.03764082
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.016927907,0.0039593377,0.010443622349999999
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.02628206,0.025377791,0.0258299255
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0024673515,0.010087439,0.00627739525
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.86352676,0.9103961,0.8869614299999999
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.875712,0.6856426,0.7806773
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0060222317,0.6425733,0.32429776585000003
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.29146093,0.08322143,0.18734118
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.051794168,0.052317224,0.052055696
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.07489592,0.0039500906,0.0394230053
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.0014706104,0.020241255,0.0108559327
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0038170065,0.015691537,0.00975427175
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8327119,0.87450695,0.8536094249999999
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.26843074,0.36485502,0.31664287999999996
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.96996963,0.976478,0.973223815
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9622431,0.9706515,0.9664473
