file_id,organism,locus_tag,ess,conf,conf_eos,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.13701946,0.26473662,0.22505835,0.2089381433333333
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.18233407,0.36044422,0.8008562,0.4478781633333333
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.19977662,0.3521379,0.050524123,0.20081288099999997
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.42748874,0.34554932,0.6071297,0.46005592
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.20893556,0.30184394,0.1037867,0.2048554
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.24432532,0.4136379,0.17091724,0.2762934866666667
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.042951453,0.076481394,0.06363505,0.061022632333333326
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.3764199,0.28017116,0.5026325,0.38640785333333333
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.06478776,0.15536705,0.10619846,0.10878442333333334
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.30419105,0.19013849,0.12859772,0.20764242
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0148735875,0.18961018,0.042228326,0.08223736450000001
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0021236683,0.0830019,0.032080814,0.039068794100000005
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.84236234,0.83718985,0.87975913,0.8531037733333333
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.7375424,0.6323427,0.7708335,0.7135728666666666
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0032079937,0.11294807,0.021878103,0.0460113889
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.12892742,0.3223817,0.044420887,0.16524333566666669
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.10233168,0.38662267,0.13837087,0.20910840666666666
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.038575724,0.16339768,0.09852075,0.100164718
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.0060166167,0.015229186,0.16381827,0.06168802423333333
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.15009815,0.07103875,0.028000388,0.08304576266666668
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.7070738,0.75983375,0.81142265,0.7594434
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.5721864,0.37686688,0.25610808,0.40172045333333334
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.8049735,0.7659949,0.9441373,0.8383685666666666
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9469569,0.94041383,0.9471594,0.9448433766666667
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9232636,0.8765294,0.88642585,0.8954062833333333
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.6539641,0.44835955,0.47517595,0.5258332
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.89639914,0.74545616,0.90116656,0.8476739533333334
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.00992146,0.061290096,0.00670513,0.02597222866666667
