file_id,organism,locus_tag,ess,conf,conf_aamean,conf_eos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.11113099,0.13701946,0.26473662,0.17096235666666668
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.2498359,0.18233407,0.36044422,0.26420473
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.22598226,0.19977662,0.3521379,0.25929892666666665
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.38554654,0.42748874,0.34554932,0.38619486666666664
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.27850533,0.20893556,0.30184394,0.26309494333333333
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.36580232,0.24432532,0.4136379,0.34125517999999994
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.09794156,0.042951453,0.076481394,0.07245813566666666
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.3070608,0.3764199,0.28017116,0.32121728666666666
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.177305,0.06478776,0.15536705,0.1324866033333333
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.31810293,0.30419105,0.19013849,0.27081082333333334
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.021013614,0.0148735875,0.18961018,0.07516579383333333
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.015791103,0.0021236683,0.0830019,0.03363889043333334
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.81017417,0.84236234,0.83718985,0.8299087866666667
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.75381523,0.7375424,0.6323427,0.7079001100000001
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.18578716,0.0032079937,0.11294807,0.10064774123333332
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.22065951,0.12892742,0.3223817,0.22398954333333332
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.23665181,0.10233168,0.38662267,0.24186872
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.21335204,0.038575724,0.16339768,0.13844181466666666
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.013479558,0.0060166167,0.015229186,0.011575120233333333
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.06800281,0.15009815,0.07103875,0.09637990333333334
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.7640917,0.7070738,0.75983375,0.7436664166666667
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.4624262,0.5721864,0.37686688,0.47049316
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.8341869,0.8049735,0.7659949,0.8017184333333334
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.88204074,0.9469569,0.94041383,0.9231371566666665
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.8314122,0.9232636,0.8765294,0.8770684000000001
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.63287324,0.6539641,0.44835955,0.5783989633333333
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9041894,0.89639914,0.74545616,0.8486815666666668
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.1179631,0.00992146,0.061290096,0.06305821866666667
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.8983999,0.9426824,0.8054907,0.8821910000000001
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.6266344,0.72955626,0.6024752,0.65288862
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.6447327,0.83005,0.5730851,0.6826226000000001
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.41083032,0.11840639,0.4831608,0.3374658366666667
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.3032444,0.11555273,0.35382354,0.2575402233333333
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.18163905,0.056974504,0.06918536,0.102599638
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.104700714,0.10182338,0.18970259,0.13207556133333334
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.06223288,0.021700313,0.08413773,0.05602364099999999
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.4517371,0.5228594,0.2237269,0.39944113333333336
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.29752132,0.09111019,0.34389123,0.24417424666666665
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.2372207,0.1251921,0.07996775,0.14746018333333333
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.26431623,0.20039594,0.16159657,0.20876958
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.35535505,0.29460162,0.15193984,0.26729883666666665
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.080189146,0.019153459,0.4667157,0.18868610166666666
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.14093466,0.009571488,0.12506512,0.09185708933333332
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.011391581,0.010579844,0.12730803,0.049759818333333324
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.09885694,0.028693758,0.45293882,0.193496506
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.86255544,0.90160215,0.7254923,0.8298832966666666
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.058563523,0.0448592,0.17291003,0.09211091766666667
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.023550099,0.004922048,0.05819894,0.028890362333333336
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.6381509,0.7286309,0.61645615,0.6610793166666666
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.57080716,0.70242196,0.77582854,0.6830192199999999
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.6817356,0.8545774,0.6048003,0.7137044333333332
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.93835986,0.93425894,0.8919827,0.9215338333333335
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.11004509,0.099523656,0.2898606,0.16647644866666667
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.074843675,0.08944136,0.37651825,0.18026776166666666
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.36959794,0.19140683,0.41092056,0.32397511
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.27986178,0.11458552,0.24008268,0.2115099933333333
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.060410354,0.005740397,0.14903769,0.07172948033333333
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.04540042,0.022563662,0.054621965,0.04086201566666667
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.077194974,0.007835059,0.18681939,0.09061647433333335
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.047933027,0.090235226,0.08346269,0.07387698100000001
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.14434877,0.14324272,0.34869424,0.21209524333333332
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.03544733,0.059705246,0.024433635,0.039862070333333326
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.14520665,0.04993497,0.2242467,0.13979610666666667
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.11948261,0.050869472,0.21561386,0.128655314
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.59076536,0.46509883,0.34632832,0.46739750333333335
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.4981397,0.52009404,0.49625012,0.5048279533333334
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.4172316,0.29820856,0.40043926,0.37195980666666667
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.39640933,0.33375448,0.53631127,0.42215836000000007
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.65125465,0.7224827,0.46371514,0.6124841633333333
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.14287241,0.020409012,0.053900577,0.07239399966666667
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.39402124,0.11750927,0.25864604,0.2567255166666667
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.42753404,0.10291031,0.3774495,0.30263128333333333
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.15933658,0.019459523,0.16534705,0.11471438433333332
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.7403386,0.84351635,0.59206134,0.72530543
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.7710102,0.76122195,0.63803786,0.7234233366666666
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.9245738,0.9638328,0.8945383,0.9276483000000001
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.8968467,0.9171824,0.8809232,0.8983174333333332
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.8320253,0.88530636,0.7904226,0.8359180866666667
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.86515933,0.9640713,0.82758325,0.8856046266666667
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.915622,0.9728482,0.90403146,0.9308338866666667
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.86899793,0.8176034,0.82580256,0.8374679633333333
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.85077065,0.88641006,0.86728895,0.8681565533333333
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.93734545,0.9335785,0.8130569,0.8946602833333333
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.8530324,0.92553616,0.7180893,0.8322192866666667
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.745982,0.7912676,0.63210094,0.7231168466666666
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.8502244,0.89315736,0.85763633,0.8670060300000001
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.9138556,0.9382674,0.89541924,0.9158474133333333
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.92010516,0.93062466,0.81354696,0.88809226
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.8248993,0.93841124,0.90075976,0.8880234333333333
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.009803409,0.010341302,0.12362909,0.04792460033333334
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.90271235,0.9406452,0.90108997,0.91481584
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.4051534,0.55575037,0.35455492,0.43848623000000003
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.26470217,0.028168542,0.46366712,0.25217927733333334
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.08989435,0.01678128,0.13932887,0.08200149999999999
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.9177574,0.88803965,0.87110287,0.8922999733333333
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.52488804,0.25107396,0.4179112,0.39795773333333334
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.16670695,0.14708322,0.24929057,0.18769358
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.13609211,0.056102492,0.059108205,0.08376760233333332
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,0.0038064576,0.0033065057,0.03072957,0.012614177766666667
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.23519348,0.458982,0.42275465,0.37231004333333334
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,0.0021308183,0.0010751407,0.0762702,0.026492052999999998
C018,Escherichia coli K-12 BW25113,BW25113_0111,0,0.107112795,0.002170019,0.12341406,0.07756562466666667
C018,Escherichia coli K-12 BW25113,BW25113_0112,0,0.13038187,0.06706953,0.10019984,0.09921708
C018,Escherichia coli K-12 BW25113,BW25113_0113,0,0.14491767,0.062027697,0.11638062,0.10777532899999999
C018,Escherichia coli K-12 BW25113,BW25113_0114,0,0.85079145,0.78426045,0.63646173,0.7571712100000001
C018,Escherichia coli K-12 BW25113,BW25113_0115,0,0.85230637,0.7347286,0.70442367,0.7638195466666667
C018,Escherichia coli K-12 BW25113,BW25113_0116,0,0.8060747,0.9131037,0.82310236,0.8474269200000001
C018,Escherichia coli K-12 BW25113,BW25113_0117,0,0.03817232,0.017013604,0.14283814,0.06600802133333333
C018,Escherichia coli K-12 BW25113,BW25113_0118,0,0.73852545,0.7071675,0.4245908,0.6234279166666666
C018,Escherichia coli K-12 BW25113,BW25113_0119,0,0.058411803,0.030876113,0.11978841,0.06969210866666666
C018,Escherichia coli K-12 BW25113,BW25113_0120,0,0.2613394,0.24897183,0.17627428,0.22886183666666668
C018,Escherichia coli K-12 BW25113,BW25113_0121,0,0.012972639,0.01098271,0.09908047,0.04101193966666667
C018,Escherichia coli K-12 BW25113,BW25113_0122,0,0.20763643,0.006641443,0.15592326,0.12340037766666667
C018,Escherichia coli K-12 BW25113,BW25113_0123,0,0.14724201,0.032552544,0.27843547,0.15274334133333334
C018,Escherichia coli K-12 BW25113,BW25113_0124,0,0.36573556,0.4292864,0.38744557,0.39415584333333337
C018,Escherichia coli K-12 BW25113,BW25113_0125,0,0.409135,0.3393434,0.5469882,0.43182220000000004
C018,Escherichia coli K-12 BW25113,BW25113_0126,1,0.7448426,0.7791228,0.40222448,0.6420632933333333
C018,Escherichia coli K-12 BW25113,BW25113_0127,0,0.2922427,0.12790318,0.52241117,0.31418568333333335
C018,Escherichia coli K-12 BW25113,BW25113_0128,0,0.09541289,0.06754308,0.25465828,0.13920475000000002
C018,Escherichia coli K-12 BW25113,BW25113_0129,0,0.018201951,0.003330742,0.08263068,0.03472112433333333
C018,Escherichia coli K-12 BW25113,BW25113_0130,0,0.09589394,0.056708947,0.23004659,0.12754982566666664
C018,Escherichia coli K-12 BW25113,BW25113_0131,0,0.24580175,0.10104682,0.14960878,0.16548578333333333
C018,Escherichia coli K-12 BW25113,BW25113_0132,0,0.030123949,0.008691021,0.20729885,0.08203794
C018,Escherichia coli K-12 BW25113,BW25113_0133,0,0.6168155,0.6446007,0.60650474,0.6226403133333333
C018,Escherichia coli K-12 BW25113,BW25113_0134,0,0.6516317,0.65539443,0.72104406,0.6760233966666668
C018,Escherichia coli K-12 BW25113,BW25113_0135,0,0.21500055,0.03066554,0.17858289,0.14141632666666668
C018,Escherichia coli K-12 BW25113,BW25113_0136,0,0.03273625,0.0026229224,0.068108924,0.034489365466666665
C018,Escherichia coli K-12 BW25113,BW25113_0137,0,0.0146665685,0.0015562188,0.07782542,0.03134940243333333
C018,Escherichia coli K-12 BW25113,BW25113_0138,0,0.07698291,0.018450258,0.13756765,0.07766693933333334
