file_id,organism,locus_tag,ess,conf,conf_aamean,conf_eos,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.11113099,0.13701946,0.26473662,0.22505835,0.184486355
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.2498359,0.18233407,0.36044422,0.8008562,0.3983675975
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.22598226,0.19977662,0.3521379,0.050524123,0.20710522574999998
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.38554654,0.42748874,0.34554932,0.6071297,0.441428575
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.27850533,0.20893556,0.30184394,0.1037867,0.2232678825
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.36580232,0.24432532,0.4136379,0.17091724,0.298670695
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.09794156,0.042951453,0.076481394,0.06363505,0.07025236425
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.3070608,0.3764199,0.28017116,0.5026325,0.36657109
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.177305,0.06478776,0.15536705,0.10619846,0.1259145675
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.31810293,0.30419105,0.19013849,0.12859772,0.23525754750000002
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.021013614,0.0148735875,0.18961018,0.042228326,0.06693142687499999
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.015791103,0.0021236683,0.0830019,0.032080814,0.033249371325
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.81017417,0.84236234,0.83718985,0.87975913,0.8423713725
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.75381523,0.7375424,0.6323427,0.7708335,0.7236334575000001
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.18578716,0.0032079937,0.11294807,0.021878103,0.08095533167499999
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.22065951,0.12892742,0.3223817,0.044420887,0.17909737925
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.23665181,0.10233168,0.38662267,0.13837087,0.2159942575
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.21335204,0.038575724,0.16339768,0.09852075,0.1284615485
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.013479558,0.0060166167,0.015229186,0.16381827,0.04963590767499999
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.06800281,0.15009815,0.07103875,0.028000388,0.0792850245
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.7640917,0.7070738,0.75983375,0.81142265,0.760605475
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.4624262,0.5721864,0.37686688,0.25610808,0.41689689
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.8341869,0.8049735,0.7659949,0.9441373,0.83732315
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.88204074,0.9469569,0.94041383,0.9471594,0.9291427174999999
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.8314122,0.9232636,0.8765294,0.88642585,0.8794077625000001
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.63287324,0.6539641,0.44835955,0.47517595,0.55259321
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9041894,0.89639914,0.74545616,0.90116656,0.8618028150000001
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.1179631,0.00992146,0.061290096,0.00670513,0.0489699465
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.8983999,0.9426824,0.8054907,0.98598284,0.90813896
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.6266344,0.72955626,0.6024752,0.5123285,0.6177485899999999
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.6447327,0.83005,0.5730851,0.76028156,0.7020373400000001
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.41083032,0.11840639,0.4831608,0.004594278,0.254247947
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.3032444,0.11555273,0.35382354,0.13415161,0.22669307
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.18163905,0.056974504,0.06918536,0.027640997,0.08385997775000001
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.104700714,0.10182338,0.18970259,0.0022217827,0.099612116675
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.06223288,0.021700313,0.08413773,0.026268262,0.04858479624999999
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.4517371,0.5228594,0.2237269,0.64602625,0.4610874125
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.29752132,0.09111019,0.34389123,0.042048432,0.19364279299999998
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.2372207,0.1251921,0.07996775,0.40354607,0.211481655
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.26431623,0.20039594,0.16159657,0.129728,0.18900918500000002
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.35535505,0.29460162,0.15193984,0.159453,0.2403373775
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.080189146,0.019153459,0.4667157,0.016554924,0.14565330725
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.14093466,0.009571488,0.12506512,0.036815193,0.07809661525
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.011391581,0.010579844,0.12730803,0.07369277,0.05574305624999999
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.09885694,0.028693758,0.45293882,0.10391451,0.171101007
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.86255544,0.90160215,0.7254923,0.93802214,0.8569180075
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.058563523,0.0448592,0.17291003,0.23573896,0.12801792825
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.023550099,0.004922048,0.05819894,0.17146473,0.06453395425
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.6381509,0.7286309,0.61645615,0.6574645,0.6601756125
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.57080716,0.70242196,0.77582854,0.42100444,0.617515525
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.6817356,0.8545774,0.6048003,0.8623226,0.750858975
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.93835986,0.93425894,0.8919827,0.8949517,0.9148883000000001
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.11004509,0.099523656,0.2898606,0.054830812,0.1385650395
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.074843675,0.08944136,0.37651825,0.20081538,0.18540466625
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.36959794,0.19140683,0.41092056,0.097109474,0.267258701
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.27986178,0.11458552,0.24008268,0.067512,0.175510495
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.060410354,0.005740397,0.14903769,0.111062944,0.08156284625
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.04540042,0.022563662,0.054621965,0.124886766,0.06186820325
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.077194974,0.007835059,0.18681939,0.14714085,0.10474756825
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.047933027,0.090235226,0.08346269,0.017209059,0.059710000500000006
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.14434877,0.14324272,0.34869424,0.21407396,0.2125899225
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.03544733,0.059705246,0.024433635,0.036734108,0.039080079749999996
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.14520665,0.04993497,0.2242467,0.16091496,0.14507582
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.11948261,0.050869472,0.21561386,0.17341211,0.139844513
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.59076536,0.46509883,0.34632832,0.54495704,0.48678738750000006
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.4981397,0.52009404,0.49625012,0.5633885,0.51946809
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.4172316,0.29820856,0.40043926,0.15021817,0.3165243975
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.39640933,0.33375448,0.53631127,0.322054,0.39713227000000006
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.65125465,0.7224827,0.46371514,0.54188836,0.5948352125
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.14287241,0.020409012,0.053900577,0.017739955,0.058730488500000004
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.39402124,0.11750927,0.25864604,0.31486118,0.2712594325
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.42753404,0.10291031,0.3774495,0.26594675,0.29346015000000003
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.15933658,0.019459523,0.16534705,0.014395049,0.0896345505
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.7403386,0.84351635,0.59206134,0.77331114,0.7373068575
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.7710102,0.76122195,0.63803786,0.71210134,0.7205928374999999
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.9245738,0.9638328,0.8945383,0.81672364,0.8999171350000001
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.8968467,0.9171824,0.8809232,0.96077675,0.9139322624999999
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.8320253,0.88530636,0.7904226,0.9226605,0.85760369
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.86515933,0.9640713,0.82758325,0.90756845,0.8910955825
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.915622,0.9728482,0.90403146,0.9775178,0.9425048650000001
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.86899793,0.8176034,0.82580256,0.7871068,0.8248776725
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.85077065,0.88641006,0.86728895,0.93477404,0.884810925
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.93734545,0.9335785,0.8130569,0.801183,0.8712909624999999
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.8530324,0.92553616,0.7180893,0.93351346,0.85754283
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.745982,0.7912676,0.63210094,0.6971943,0.71663621
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.8502244,0.89315736,0.85763633,0.89544696,0.8741162625000001
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.9138556,0.9382674,0.89541924,0.9489397,0.924120485
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.92010516,0.93062466,0.81354696,0.90708864,0.892841355
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.8248993,0.93841124,0.90075976,0.89242834,0.88912466
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.009803409,0.010341302,0.12362909,0.11480844,0.06464556025
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.90271235,0.9406452,0.90108997,0.8482905,0.898184505
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.4051534,0.55575037,0.35455492,0.63738817,0.48821171500000005
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.26470217,0.028168542,0.46366712,0.55504996,0.327896948
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.08989435,0.01678128,0.13932887,0.09083028,0.084208695
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.9177574,0.88803965,0.87110287,0.96851814,0.911354515
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.52488804,0.25107396,0.4179112,0.3648734,0.38968665
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.16670695,0.14708322,0.24929057,0.07394656,0.159256825
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.13609211,0.056102492,0.059108205,0.011332433,0.06565880999999998
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,0.0038064576,0.0033065057,0.03072957,0.06267615,0.025129670825
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.23519348,0.458982,0.42275465,0.54432976,0.41531497250000005
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,0.0021308183,0.0010751407,0.0762702,0.048874665,0.032087705999999994
C018,Escherichia coli K-12 BW25113,BW25113_0111,0,0.107112795,0.002170019,0.12341406,0.057077374,0.072443562
