file_id,organism,locus_tag,ess,conf,conf_aamean,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.11113099,0.13701946,0.22505835,0.15773626666666665
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.2498359,0.18233407,0.8008562,0.4110087233333333
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.22598226,0.19977662,0.050524123,0.15876100099999998
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.38554654,0.42748874,0.6071297,0.4733883266666667
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.27850533,0.20893556,0.1037867,0.19707586333333335
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.36580232,0.24432532,0.17091724,0.2603482933333333
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.09794156,0.042951453,0.06363505,0.068176021
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.3070608,0.3764199,0.5026325,0.3953710666666667
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.177305,0.06478776,0.10619846,0.11609707333333334
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.31810293,0.30419105,0.12859772,0.25029723333333337
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.021013614,0.0148735875,0.042228326,0.026038509166666668
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.015791103,0.0021236683,0.032080814,0.0166651951
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.81017417,0.84236234,0.87975913,0.8440985466666667
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.75381523,0.7375424,0.7708335,0.7540637099999999
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.18578716,0.0032079937,0.021878103,0.07029108556666668
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.22065951,0.12892742,0.044420887,0.13133593899999998
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.23665181,0.10233168,0.13837087,0.15911812
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.21335204,0.038575724,0.09852075,0.11681617133333333
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.013479558,0.0060166167,0.16381827,0.0611048149
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.06800281,0.15009815,0.028000388,0.08203378266666667
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.7640917,0.7070738,0.81142265,0.7608627166666667
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.4624262,0.5721864,0.25610808,0.43024022666666667
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.8341869,0.8049735,0.9441373,0.8610992333333334
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.88204074,0.9469569,0.9471594,0.9253856799999999
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.8314122,0.9232636,0.88642585,0.8803672166666666
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.63287324,0.6539641,0.47517595,0.5873377633333333
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9041894,0.89639914,0.90116656,0.9005850333333334
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.1179631,0.00992146,0.00670513,0.044863230000000004
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.8983999,0.9426824,0.98598284,0.9423550466666667
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.6266344,0.72955626,0.5123285,0.62283972
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.6447327,0.83005,0.76028156,0.74502142
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.41083032,0.11840639,0.004594278,0.1779436626666667
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.3032444,0.11555273,0.13415161,0.18431624666666668
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.18163905,0.056974504,0.027640997,0.088751517
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.104700714,0.10182338,0.0022217827,0.0695819589
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.06223288,0.021700313,0.026268262,0.03673381833333333
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.4517371,0.5228594,0.64602625,0.5402075833333333
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.29752132,0.09111019,0.042048432,0.14355998066666664
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.2372207,0.1251921,0.40354607,0.2553196233333333
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.26431623,0.20039594,0.129728,0.1981467233333333
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.35535505,0.29460162,0.159453,0.26980322333333334
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.080189146,0.019153459,0.016554924,0.03863250966666667
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.14093466,0.009571488,0.036815193,0.06244044699999999
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.011391581,0.010579844,0.07369277,0.031888065
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.09885694,0.028693758,0.10391451,0.07715506933333334
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.86255544,0.90160215,0.93802214,0.9007265766666667
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.058563523,0.0448592,0.23573896,0.11305389433333334
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.023550099,0.004922048,0.17146473,0.06664562566666667
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.6381509,0.7286309,0.6574645,0.6747487666666667
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.57080716,0.70242196,0.42100444,0.56474452
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.6817356,0.8545774,0.8623226,0.7995452
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.93835986,0.93425894,0.8949517,0.9225235
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.11004509,0.099523656,0.054830812,0.08813318599999999
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.074843675,0.08944136,0.20081538,0.12170013833333333
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.36959794,0.19140683,0.097109474,0.21937141466666668
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.27986178,0.11458552,0.067512,0.15398643333333334
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.060410354,0.005740397,0.111062944,0.05907123166666667
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.04540042,0.022563662,0.124886766,0.064283616
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.077194974,0.007835059,0.14714085,0.07739029433333333
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.047933027,0.090235226,0.017209059,0.05179243733333334
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.14434877,0.14324272,0.21407396,0.16722181666666666
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.03544733,0.059705246,0.036734108,0.04396222799999999
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.14520665,0.04993497,0.16091496,0.11868552666666665
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.11948261,0.050869472,0.17341211,0.114588064
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.59076536,0.46509883,0.54495704,0.5336070766666667
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.4981397,0.52009404,0.5633885,0.5272074133333334
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.4172316,0.29820856,0.15021817,0.2885527766666667
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.39640933,0.33375448,0.322054,0.35073927000000005
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.65125465,0.7224827,0.54188836,0.6385419033333334
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.14287241,0.020409012,0.017739955,0.060340459000000006
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.39402124,0.11750927,0.31486118,0.2754638966666667
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.42753404,0.10291031,0.26594675,0.2654637
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.15933658,0.019459523,0.014395049,0.06439705066666666
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.7403386,0.84351635,0.77331114,0.7857220300000001
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.7710102,0.76122195,0.71210134,0.7481111633333333
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.9245738,0.9638328,0.81672364,0.90171008
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.8968467,0.9171824,0.96077675,0.9249352833333333
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.8320253,0.88530636,0.9226605,0.8799973866666666
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.86515933,0.9640713,0.90756845,0.9122663599999999
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.915622,0.9728482,0.9775178,0.9553293333333333
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.86899793,0.8176034,0.7871068,0.8245693766666666
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.85077065,0.88641006,0.93477404,0.8906515833333334
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.93734545,0.9335785,0.801183,0.8907023166666667
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.8530324,0.92553616,0.93351346,0.90402734
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.745982,0.7912676,0.6971943,0.7448146333333333
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.8502244,0.89315736,0.89544696,0.8796095733333334
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.9138556,0.9382674,0.9489397,0.9336875666666667
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.92010516,0.93062466,0.90708864,0.9192728200000001
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.8248993,0.93841124,0.89242834,0.8852462933333333
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.009803409,0.010341302,0.11480844,0.04498438366666666
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.90271235,0.9406452,0.8482905,0.8972160166666666
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.4051534,0.55575037,0.63738817,0.53276398
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.26470217,0.028168542,0.55504996,0.282640224
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.08989435,0.01678128,0.09083028,0.06583530333333333
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.9177574,0.88803965,0.96851814,0.9247717299999999
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.52488804,0.25107396,0.3648734,0.3802784666666667
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.16670695,0.14708322,0.07394656,0.12924557666666667
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.13609211,0.056102492,0.011332433,0.067842345
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,0.0038064576,0.0033065057,0.06267615,0.023263037766666664
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.23519348,0.458982,0.54432976,0.41283507999999997
