file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.00033436145
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.44521376
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.007977852
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.11307522
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.21567032
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.16883498
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0031632474
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.08610244
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.08702556
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.3864215
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.23766072
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.10905241
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.8550754
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.69634044
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.03679876
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.098219365
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.017172959
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0056845564
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.0011917885
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0072080544
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.9410244
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.26295608
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.8904818
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9907376
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9565806
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.045440156
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9759168
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.037761405
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.99052423
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.40063503
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.71517473
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.007846465
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.08939374
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.025561899
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.018811824
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.053599082
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.40628403
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.12782851
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.08473602
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.07659978
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.18496369
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.004343314
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.005714072
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.055594336
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.07122473
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9599702
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.04854168
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.55822176
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.32737854
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.5298941
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.898641
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.99510443
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.012513441
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.2140035
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.042557202
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.11962928
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.16096662
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.0007155505
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.0067672217
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.0019200387
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.03784741
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.23523755
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.3331422
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.011510205
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.033986688
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.5868442
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.42745733
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.17748886
