file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0060921516
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.10174802
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.0012955256
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.088047735
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.010439267
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.024918463
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.025734304
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.07740042
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.023219729
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.004015534
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.035263885
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.005145295
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9355119
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.8074015
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.15306966
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.006300094
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.02392595
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0009977054
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.0025546786
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,2.5242145e-05
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.85149527
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.54932576
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.86287504
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.95656025
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9400416
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.030868746
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9734065
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.0018373985
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.983275
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.19773874
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.8120667
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.016238978
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.037885986
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.0020929987
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.0015624699
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.000480657
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.3024272
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.0002883449
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.014575256
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.18826964
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.017768104
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.019959971
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.0004789659
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.00049750245
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.04040364
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.95675325
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.003791926
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.004102194
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.3390646
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.26944238
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.8631594
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.98477465
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.031637788
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.02835885
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.0039203553
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.016095994
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.0020978844
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.007276915
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.014885163
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.025529636
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.12043201
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.0060514417
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.04377716
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.085066915
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.024043608
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.48258528
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.059075158
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.05619483
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.9384468
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.0006979336
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.09388006
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.36918142
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.0007783122
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.7415329
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.9379254
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.97675234
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.9621162
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.9434511
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.97876084
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.99687505
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.99152046
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.9849592
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.9968081
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.98641974
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.84270555
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.9971896
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.9974457
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.9859708
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.95675033
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.07849565
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.95612025
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.41578242
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.011741978
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.0026654429
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.9313192
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.27727357
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.015420743
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.012214442
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,0.0042866324
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.3345586
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,0.0016486275
