file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.002023763
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.3221115
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.0063498276
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.10368958
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.00093843427
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.030503223
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.018919881
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.0044371067
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.06024364
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.01146364
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.026362425
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0011565413
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.8582062
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.61922914
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.00020631561
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.20834164
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.03333915
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.050442602
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.1804025
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0010683063
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.7232405
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.07280434
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.93443835
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9934436
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.96899277
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.08300959
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.94657516
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.014176152
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.8240686
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.08335302
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.6392502
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.016765686
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.0010077908
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.010020948
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.0012541919
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.004308553
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.015985375
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.02074467
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.016502487
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.005269288
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.09419163
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.011210312
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.00063189265
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.00036010443
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.0037038624
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9247239
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.2471569
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.0038651677
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.32204384
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.77690715
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.93420064
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.9843836
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.011926413
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.03065032
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.0059457314
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.049957853
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.062187027
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,3.016603e-05
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,2.2651042e-05
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.008112498
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.0022980112
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.0013713953
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.13498852
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.004258817
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.26378205
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.34091967
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.028382847
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.0037036953
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.9135361
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.0031106006
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.010906823
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.10197263
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.0011110536
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.885182
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.8777358
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.93713224
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.9519942
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.99219304
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.9874057
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.96501565
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.9937051
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.99390197
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.9920053
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.9488519
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.8154562
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.9724668
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.9947923
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.9802874
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.8869541
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.00030802135
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.93719506
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.03996366
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.14685367
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.0009834503
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.9789707
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.1185091
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.00085808383
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.004137291
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,0.0041640904
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.26557326
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,0.006116143
C018,Escherichia coli K-12 BW25113,BW25113_0111,0,0.0026778867
C018,Escherichia coli K-12 BW25113,BW25113_0112,0,0.014787416
C018,Escherichia coli K-12 BW25113,BW25113_0113,0,0.010255898
C018,Escherichia coli K-12 BW25113,BW25113_0114,0,0.61633575
C018,Escherichia coli K-12 BW25113,BW25113_0115,0,0.7416289
C018,Escherichia coli K-12 BW25113,BW25113_0116,0,0.9395128
C018,Escherichia coli K-12 BW25113,BW25113_0117,0,0.0073286216
C018,Escherichia coli K-12 BW25113,BW25113_0118,0,0.73326576
C018,Escherichia coli K-12 BW25113,BW25113_0119,0,0.00016540829
C018,Escherichia coli K-12 BW25113,BW25113_0120,0,0.016127469
C018,Escherichia coli K-12 BW25113,BW25113_0121,0,0.014554129
C018,Escherichia coli K-12 BW25113,BW25113_0122,0,0.034977417
C018,Escherichia coli K-12 BW25113,BW25113_0123,0,0.011105343
C018,Escherichia coli K-12 BW25113,BW25113_0124,0,0.099500306
C018,Escherichia coli K-12 BW25113,BW25113_0125,0,0.018772407
C018,Escherichia coli K-12 BW25113,BW25113_0126,1,0.5754637
C018,Escherichia coli K-12 BW25113,BW25113_0127,0,0.0068137012
C018,Escherichia coli K-12 BW25113,BW25113_0128,0,0.084536456
C018,Escherichia coli K-12 BW25113,BW25113_0129,0,0.13895616
C018,Escherichia coli K-12 BW25113,BW25113_0130,0,0.080878526
C018,Escherichia coli K-12 BW25113,BW25113_0131,0,0.3567424
C018,Escherichia coli K-12 BW25113,BW25113_0132,0,0.0063356785
C018,Escherichia coli K-12 BW25113,BW25113_0133,0,0.17072819
C018,Escherichia coli K-12 BW25113,BW25113_0134,0,0.050460726
C018,Escherichia coli K-12 BW25113,BW25113_0135,0,5.875694e-05
C018,Escherichia coli K-12 BW25113,BW25113_0136,0,1.4845006e-05
C018,Escherichia coli K-12 BW25113,BW25113_0137,0,2.5123198e-05
C018,Escherichia coli K-12 BW25113,BW25113_0138,0,0.00033672096
C018,Escherichia coli K-12 BW25113,BW25113_0139,0,0.007537515
C018,Escherichia coli K-12 BW25113,BW25113_0140,0,0.002775874
C018,Escherichia coli K-12 BW25113,BW25113_0141,0,0.00040213147
