file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.018120326
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.48387834
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.0032418824
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.45040172
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.0020039093
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.18639061
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0012893608
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.109906875
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.060655985
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.013657985
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.1023231
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0009178966
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9634467
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.77094287
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,4.136541e-05
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.08579291
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.24811743
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0052053044
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.025909808
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.00061657425
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.91375697
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.21000206
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9613783
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9991159
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.7703565
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.35020572
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9613179
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.00067618105
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.93042237
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.34179062
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.82034695
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.14278673
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.017254967
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.011290266
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.0004516696
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.0005695997
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.49219394
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.0019861988
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.10250128
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.005319224
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.06368967
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.014494219
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.0012364567
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.028702445
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.017138522
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.95597273
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.048064385
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,3.6123256e-05
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.18402709
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.39860007
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.84381187
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.99675924
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.008291273
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.0028488028
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.026066974
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.0227968
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.040091503
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.0032887643
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.0042971615
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.0008740007
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.0018414459
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.0106192585
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.014688402
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.044472303
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.18078183
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.5593826
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.60077834
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.11887207
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.62256813
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.0038057992
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.04040648
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.21737596
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.010392624
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.88180524
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.7064985
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.9332341
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.9673702
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.9532942
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.90023434
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.9964707
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.9681217
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.99289286
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.96551204
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.96448284
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.96433485
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.9982797
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.97794515
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.9621547
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.9781466
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.03730789
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.9780215
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.7023405
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.048995994
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.0014681895
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.9701396
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.15348695
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.02373483
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.012808287
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,0.0041205543
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.31957853
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,0.0013530588
C018,Escherichia coli K-12 BW25113,BW25113_0111,0,0.006373954
