file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.038907018
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.24945554
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.12343157
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.23125164
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.028110676
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.09150765
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.005233916
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.11286387
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.20359212
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.044943105
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.08678802
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.012376957
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9347338
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.81858575
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0053327666
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.023157634
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.060898837
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.09143429
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.04657021
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0035740105
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8116024
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.2313135
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.95785457
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.95679736
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9209096
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.4074241
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.96075505
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.16096391
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9513522
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.5839032
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.6713531
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.23233749
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.319438
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.009726965
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.010004938
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.0120945675
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.46743765
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.008453349
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.553587
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.10230129
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.3557876
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.035311803
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.0026439517
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.017589279
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.032073274
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9729786
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.15168354
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.021484558
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.4005829
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.29224
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.8624698
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.96066636
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.06264501
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.2196655
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.04781424
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.12532556
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.02070626
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.0012485939
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.0052338014
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.053748064
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.037193075
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.22818504
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.23083767
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.3102909
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.13190678
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.7503505
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.13629855
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.2587241
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.4994991
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.17020589
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.48888993
