file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.38156003
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.58554363
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.28662068
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.5587318
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.38257223
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.6960829
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.074943565
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.4480529
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.4072503
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.01610508
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.43808636
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.06670428
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.8783224
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.6617189
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.07619895
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.1855031
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.19868046
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.046061352
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.0503851
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.25435776
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.78659815
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.3660962
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.791589
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.94729084
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.8554374
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.36272112
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.70442694
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.0702084
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9064492
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.6288709
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.603106
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.12656753
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.655213
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.012844543
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.1407407
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.109256424
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.36228728
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.15228155
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.82445866
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.35602605
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.098638944
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.25195143
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.022184212
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.03279417
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.38901103
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.80861175
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.28043696
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.040089406
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.5085316
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.5769731
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.8094736
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.78554803
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.11028426
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.05742917
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.26792434
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.49254906
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.07923109
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.12030677
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.20031407
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.050113637
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.25475353
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.04170089
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.38218924
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.19257277
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.49304
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.7203722
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.26747495
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.49943867
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.3144146
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.23324646
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.2196895
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.76270396
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.20684679
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.8518755
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.72863525
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.8333004
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.9338577
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.89049375
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.8831721
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.97984344
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.9351208
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.9644152
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.83452487
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.48733482
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.8958169
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.7702462
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.96324766
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.88285893
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.879069
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.013736473
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.8891819
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.46120292
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.16147444
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.14936069
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.7082369
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.5087183
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.1283842
