file_id,organism,locus_tag,ess,conf,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.013902548,0.17916842,0.096535484
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.3984273,0.18098749,0.289707395
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.020046884,0.0045060865,0.01227648525
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.124681056,0.58508277,0.354881913
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.018912425,0.032962266,0.0259373455
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.17640318,0.006662724,0.091532952
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.016366115,0.0021900388,0.0092780769
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.29909474,0.04149715,0.170295945
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.13593064,0.049403243,0.09266694149999999
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0016422652,0.35086933,0.17625579759999999
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.061952513,0.14023486,0.1010936865
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.012219005,0.12428298,0.0682509925
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9138407,0.9232539,0.9185473
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.7774868,0.5530747,0.66528075
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.08594764,0.021428285,0.053687962500000005
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.3526258,0.20005624,0.27634102
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.07542405,0.068704225,0.0720641375
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.003154792,0.011060685,0.0071077385
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.0013366318,0.062139325,0.0317379784
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.018918926,0.0039191195,0.01141902275
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.82119036,0.9064384,0.86381438
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.489627,0.51800114,0.50381407
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.97281396,0.98398685,0.9784004049999999
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9894944,0.9754304,0.9824624
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9759856,0.961093,0.9685393
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.4234285,0.20819296,0.31581073
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9298931,0.9728905,0.9513918
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.0052081794,0.5282385,0.2667233397
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9316396,0.92445755,0.928048575
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.4789371,0.08583937,0.282388235
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.7502769,0.74583805,0.748057475
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.43023896,0.07998332,0.25511114
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.003131677,0.080467954,0.0417998155
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.0013439282,0.123231925,0.0622879266
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.061345395,4.15332e-05,0.030693464099999998
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.0062634884,0.008657857,0.0074606727000000005
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.032487266,0.038714238,0.035600752
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.064996995,0.15969723,0.1123471125
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.05227141,0.530784,0.291527705
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.031860333,0.016453138,0.0241567355
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.09055999,0.046362042,0.068461016
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.006956179,0.072341114,0.039648646499999995
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.010281851,0.005296049,0.007788949999999999
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.08001565,0.06611306,0.073064355
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.08413055,0.01359336,0.048861955
