file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,2.841996e-05
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.07022502
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.0020558478
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.3241923
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.030749766
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.19814181
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.021511845
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.19071624
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.013605155
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.006933229
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.06262996
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,3.2974403e-05
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.8829671
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.6673322
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.00067855575
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.0056358846
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.015371518
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.013049697
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.03450004
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.00020009148
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8297953
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.76899314
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.93359315
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9891278
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.93995684
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.20486058
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9511243
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.055131808
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.99573404
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.1645999
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.5101468
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.001287764
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.007172514
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.022874132
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.0015822721
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.031246535
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.19110431
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.001012004
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.050592046
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.0014551537
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.022290783
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.00038593996
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,5.8754023e-05
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0014936101
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.008228179
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.97434276
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.004480725
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.0075669284
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.4901329
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.5037808
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.59625566
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.020379314
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.002207855
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.0060111927
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.1254205
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.007222961
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,2.002794e-05
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.0009572725
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.00038746893
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,2.5093146e-05
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.0005510432
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.015563267
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.0053891228
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.16146357
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.0067115542
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.1701676
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.13063489
