file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.009117142
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.087784104
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.0063396697
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.18992704
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.55551577
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.16645445
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0008603008
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.05228222
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.10831176
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.082342714
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0064614355
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0018460803
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.91800565
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.19158874
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.43631968
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.024491817
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.0040552085
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.007086916
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,7.327531e-05
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.00029273247
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.88424534
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.39478612
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9832492
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.977518
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.8589056
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.51881677
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9292345
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.005088187
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9830183
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.36857268
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.5825883
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.099006735
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.0006814367
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.00033370833
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.00011981021
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.001074052
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.0105652185
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.0043345178
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.0020078698
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.006924269
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.17455758
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.029665293
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.0003083178
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.00025859327
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.02168737
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9540996
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.0004381625
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.0008221188
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.08023058
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.42587972
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.57595104
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.9992065
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.03418686
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.0016880576
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.0005755449
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.022957558
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.12963691
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,2.7873393e-05
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.0656867
