file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,7.387239e-06
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.13084704
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.014302961
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.020720592
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.0017074869
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.0056587383
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,6.1464576e-05
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.012497923
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.0020551514
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,6.1412604e-05
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.000120000004
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,1.073651e-05
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.94685423
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.3647673
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0004613325
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.008660641
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.10361418
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.00078968384
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,6.738939e-06
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0011963738
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.596246
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.22217707
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.8435629
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.99596417
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.93264484
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.0283108
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.944337
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.0063355556
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.98666406
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.022371147
