file_id,organism,locus_tag,ess,conf,conf_bos,conf_eos,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.010914263,0.013902548,0.05427317,0.17916842,0.06456460024999999
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.25867066,0.3984273,0.30304396,0.18098749,0.2852823525
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.006038194,0.020046884,0.05927424,0.0045060865,0.022466351125000002
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.20672603,0.124681056,0.10231977,0.58508277,0.2547024065
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.066945866,0.018912425,0.10440409,0.032962266,0.05580616175
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.21734771,0.17640318,0.24278305,0.006662724,0.160799166
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.018344281,0.016366115,0.004802279,0.0021900388,0.010425678450000002
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.044183653,0.29909474,0.30271155,0.04149715,0.17187177325
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.21483034,0.13593064,0.18125132,0.049403243,0.14535388575
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.094818965,0.0016422652,0.08937505,0.35086933,0.13417640255
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.29948342,0.061952513,0.06374784,0.14023486,0.14135465825
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.016228804,0.012219005,0.014070108,0.12428298,0.04170022425
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.91989297,0.9138407,0.9146691,0.9232539,0.9179141675
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.88764316,0.7774868,0.6717101,0.5530747,0.72247869
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0024387154,0.08594764,0.007981166,0.021428285,0.029448951600000002
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.030360214,0.3526258,0.119035706,0.20005624,0.17551949
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.01684873,0.07542405,0.086042665,0.068704225,0.061754917500000006
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.00835297,0.003154792,0.023512518,0.011060685,0.01152024125
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.050974164,0.0013366318,0.17119507,0.062139325,0.0714112977
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0043219007,0.018918926,0.003494004,0.0039191195,0.007663487549999999
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.95661396,0.82119036,0.94204104,0.9064384,0.9065709399999999
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.57704043,0.489627,0.6328952,0.51800114,0.5543909425
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9635487,0.97281396,0.87425685,0.98398685,0.94865159
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9191267,0.9894944,0.9528929,0.9754304,0.9592361
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9547095,0.9759856,0.9773791,0.961093,0.9672917999999999
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.20733507,0.4234285,0.5440116,0.20819296,0.3457420325000001
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9745524,0.9298931,0.98253953,0.9728905,0.9649688825
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.008265087,0.0052081794,0.36975747,0.5282385,0.22786730910000003
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.89192027,0.9316396,0.98344433,0.92445755,0.9328654375
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.40237218,0.4789371,0.6023676,0.08583937,0.3923790625
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.54702014,0.7502769,0.8029081,0.74583805,0.7115107975
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.33452225,0.43023896,0.07538428,0.07998332,0.2300322025
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.038641572,0.003131677,0.057380658,0.080467954,0.04490546525
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.0930987,0.0013439282,0.0009054978,0.123231925,0.05464501275
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.010777402,0.061345395,0.027755763,4.15332e-05,0.0249800233
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.013404567,0.0062634884,0.005630476,0.008657857,0.008489097099999999
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.30815774,0.032487266,0.031225737,0.038714238,0.10264624525
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.09203208,0.064996995,0.15168224,0.15969723,0.11710213625000002
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.27800706,0.05227141,0.010850505,0.530784,0.21797824375000002
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.057875734,0.031860333,0.013080009,0.016453138,0.029817303500000003
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.06297767,0.09055999,0.0960736,0.046362042,0.0739933255
