file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.03006851
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.30293933
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.01810877
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.40855274
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.11123892
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.51906514
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.002549737
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.22030921
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.081442274
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.026063971
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.051815096
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.04368379
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.89897025
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.7838773
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.002156367
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.3290393
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.22338139
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.037314296
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.11656924
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0018371029
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.9030472
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.5541018
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.970169
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9977069
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9841403
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.12801796
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.928638
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.053476512
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9416351
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.3173517
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.7915257
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.3618856
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.04453438
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.010886044
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.034562375
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.00075035257
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.10133363
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.20888114
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.029191058
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.19254026
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.061096698
