file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.054094315
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.124196365
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.00029356926
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.10419999
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.0016429479
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.013883082
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.053054824
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.08056287
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.2661031
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0063078008
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.04756101
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,1.0707348e-05
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.90481806
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.7513643
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0011007609
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.2240925
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.0033135547
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.05808513
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.3813892
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.000996152
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.84379226
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.11581538
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.8064494
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.992293
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.8627314
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.04566205
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9687376
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.017084252
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.8945005
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.5062359
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.42736766
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.5463275
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.030983835
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.18757093
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.0055997223
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.026490279
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.011802683
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.0073958556
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.6782775
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.0009309044
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.052582134
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.05101955
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.0059227813
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0068591707
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.16453747
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9155358
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.14293411
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.03264193
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.19904685
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.724764
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.97129804
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.99584097
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.0055588824
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.0110119665
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.043448355
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.18658401
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.052966665
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.016959963
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.01137032
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.017302405
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.035035487
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.0017053369
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.27817845
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.00782635
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.314618
