file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.036032084
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.21421465
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.0247719
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.44177678
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.10416359
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.03887496
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.00011477008
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.107053734
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.65833926
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0057872245
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.04354033
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.044640977
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9160819
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.77859086
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.00061897386
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.002666854
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.04147391
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.000261031
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.00017615795
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,8.858107e-06
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.7990128
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.19546542
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9787178
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9811623
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.97950774
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.26009604
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9631583
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.33488965
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.96404016
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.088446245
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.74810255
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.0006083875
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.014572338
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.016322572
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.00219528
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.008127568
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.42940354
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.044481333
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.31600022
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.105265856
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.11998099
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.050528295
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.00084100396
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.002410152
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.030302372
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9367485
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.054216173
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.0009923753
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.3162614
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.6134768
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.97936624
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.99897456
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.005517055
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.008316297
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.00050725514
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.00095867034
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.77379704
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.0031145539
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.03055527
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.0073701325
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.08918174
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.14706357
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.004473217
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.2695275
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.043203454
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.33239093
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.08216127
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.023738382
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.58766127
