file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,2.5990498e-06
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.23075806
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.011813059
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.29867056
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.23665148
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.059746247
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.052342784
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.1967502
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.012939357
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.041192062
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0021836564
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.030798057
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.86300987
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.640153
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0029123223
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.016421467
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.11914143
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0050757607
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.00519488
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0070150997
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8116385
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.42003208
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9597631
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9613583
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9466852
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.20976302
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.98150086
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.04909416
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.97050595
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.70350504
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.46883312
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.09500919
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.0025779023
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.026465585
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.0126466155
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.0007923425
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.10270126
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.010652636
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.0817314
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.17710568
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.058289554
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.19977261
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.008858878
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0009669261
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.0033526674
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9468801
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.030117478
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.00072427443
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.2829895
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.75690234
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.8933968
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.97976905
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.12834376
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.02288935
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.0031809895
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.05277617
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.042192556
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.00865098
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.0075799925
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.00013579022
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.20164904
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.007089071
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.21685885
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.0016561775
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.109824985
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.5360089
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.420087
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.64661753
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.64994043
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.002387718
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.004418194
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.109265275
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.012074592
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.4807425
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.62862307
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.96295786
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.97287524
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.9714414
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.9834583
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.98308796
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.9520105
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.9604883
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.9130591
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.9721595
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.90928316
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.95941615
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.99188143
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.9466899
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.9848877
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.0075239614
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.973473
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.69698524
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.023998318
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.04319743
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.88825065
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.40155256
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.008743686
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.012879125
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,4.7721318e-05
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.5690436
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,0.0005195831
