file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.13737237
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.699259
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.084324636
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.53793013
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.10671114
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.3015814
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.04345974
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.47759444
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.3079922
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.080845386
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.24504964
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.00078471313
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9439102
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.8581058
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.030568212
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.001255476
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.09274361
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.056473847
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.041113243
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0043511568
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8770617
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.3628368
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.93802476
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.96653193
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9256199
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.30870065
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.93973476
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.009282649
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.96235514
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.28343785
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.6787825
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.38288915
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.19637543
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.0089798
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.004778192
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.0007569773
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.20837611
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.07978246
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.12794623
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.013604963
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.2580929
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.020773884
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.002597222
