file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0028065036
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.057683915
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.013576944
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.5155601
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.005335719
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.029885553
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.010686471
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.08513819
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.0478353
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.023725843
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0024890455
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0026131421
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.92819536
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.8788647
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.00039715538
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.0027508289
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.12354145
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.06539698
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.03318478
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.08296162
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.88960636
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.39735615
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9688709
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.98907673
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9777616
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.13695194
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.81690973
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.13255906
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9450548
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.6526708
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.6072535
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.06755967
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.039856136
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.0031673291
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.008312511
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.003540077
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.02237788
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.2055401
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.091955654
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.09819964
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.0051229903
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.18551062
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.015990041
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0027264915
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.018750992
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.8711967
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.03634214
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.085011415
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.53359824
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.7812698
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.6419546
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.98855966
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.017595353
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.032529388
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.013477693
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.0018714587
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.010702311
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.011327646
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.049485322
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.0027793439
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.045393918
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.02953284
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.002656078
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.012212112
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.55453247
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.60639316
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.026967278
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.38703245
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.6763746
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.009418483
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.51950806
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.30465195
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.014521413
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.38583302
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.73592687
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.9204164
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.98670083
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.9707615
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.95448196
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.9761841
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.9762453
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.93111914
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.90393555
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.985786
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.900884
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.7643567
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.9954471
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.948618
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.9350913
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.0015104675
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.95890003
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.113398015
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.09810221
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.06764623
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.9487891
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.25607184
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.018375602
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.0028104298
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,0.00066715555
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.35054716
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,0.011968122
C018,Escherichia coli K-12 BW25113,BW25113_0111,0,0.035498623
C018,Escherichia coli K-12 BW25113,BW25113_0112,0,0.1315206
C018,Escherichia coli K-12 BW25113,BW25113_0113,0,0.018226389
C018,Escherichia coli K-12 BW25113,BW25113_0114,0,0.7656289
C018,Escherichia coli K-12 BW25113,BW25113_0115,0,0.8089317
C018,Escherichia coli K-12 BW25113,BW25113_0116,0,0.97050744
C018,Escherichia coli K-12 BW25113,BW25113_0117,0,0.0009203509
C018,Escherichia coli K-12 BW25113,BW25113_0118,0,0.77904826
C018,Escherichia coli K-12 BW25113,BW25113_0119,0,0.001867734
C018,Escherichia coli K-12 BW25113,BW25113_0120,0,0.005687355
C018,Escherichia coli K-12 BW25113,BW25113_0121,0,0.06288814
C018,Escherichia coli K-12 BW25113,BW25113_0122,0,0.00016775077
C018,Escherichia coli K-12 BW25113,BW25113_0123,0,0.0075185113
C018,Escherichia coli K-12 BW25113,BW25113_0124,0,0.5204211
C018,Escherichia coli K-12 BW25113,BW25113_0125,0,0.09668663
C018,Escherichia coli K-12 BW25113,BW25113_0126,1,0.74895173
C018,Escherichia coli K-12 BW25113,BW25113_0127,0,0.13505803
C018,Escherichia coli K-12 BW25113,BW25113_0128,0,0.17301378
C018,Escherichia coli K-12 BW25113,BW25113_0129,0,0.002158117
C018,Escherichia coli K-12 BW25113,BW25113_0130,0,0.2233275
C018,Escherichia coli K-12 BW25113,BW25113_0131,0,0.19920506
C018,Escherichia coli K-12 BW25113,BW25113_0132,0,0.006060638
C018,Escherichia coli K-12 BW25113,BW25113_0133,0,0.91119504
C018,Escherichia coli K-12 BW25113,BW25113_0134,0,0.52703965
C018,Escherichia coli K-12 BW25113,BW25113_0135,0,0.0036437982
C018,Escherichia coli K-12 BW25113,BW25113_0136,0,0.00020696284
C018,Escherichia coli K-12 BW25113,BW25113_0137,0,3.3291726e-06
C018,Escherichia coli K-12 BW25113,BW25113_0138,0,0.0009924505
C018,Escherichia coli K-12 BW25113,BW25113_0139,0,0.23260823
C018,Escherichia coli K-12 BW25113,BW25113_0140,0,0.5525439
C018,Escherichia coli K-12 BW25113,BW25113_0141,0,0.000566218
C018,Escherichia coli K-12 BW25113,BW25113_0142,1,0.69590944
C018,Escherichia coli K-12 BW25113,BW25113_0143,0,0.69641626
C018,Escherichia coli K-12 BW25113,BW25113_0144,0,0.040433493
C018,Escherichia coli K-12 BW25113,BW25113_0145,0,0.58661133
C018,Escherichia coli K-12 BW25113,BW25113_0146,0,0.041618157
C018,Escherichia coli K-12 BW25113,BW25113_0147,0,0.0668201
C018,Escherichia coli K-12 BW25113,BW25113_0148,0,0.0036491286
C018,Escherichia coli K-12 BW25113,BW25113_0149,0,0.18320432
C018,Escherichia coli K-12 BW25113,BW25113_0150,0,0.07440771
C018,Escherichia coli K-12 BW25113,BW25113_0151,0,0.014593224
C018,Escherichia coli K-12 BW25113,BW25113_0152,0,0.006363936
C018,Escherichia coli K-12 BW25113,BW25113_0153,0,0.02104404
C018,Escherichia coli K-12 BW25113,BW25113_0154,1,0.70826644
C018,Escherichia coli K-12 BW25113,BW25113_0155,0,0.022621218
C018,Escherichia coli K-12 BW25113,BW25113_0156,1,0.960063
C018,Escherichia coli K-12 BW25113,BW25113_0157,0,0.021334149
C018,Escherichia coli K-12 BW25113,BW25113_0158,0,0.031715155
C018,Escherichia coli K-12 BW25113,BW25113_0159,0,0.6478643
C018,Escherichia coli K-12 BW25113,BW25113_0160,0,0.0034000003
C018,Escherichia coli K-12 BW25113,BW25113_0161,0,0.4475422
C018,Escherichia coli K-12 BW25113,BW25113_0162,0,0.0032718752
C018,Escherichia coli K-12 BW25113,BW25113_0163,0,0.07080158
C018,Escherichia coli K-12 BW25113,BW25113_0164,0,0.44135153
C018,Escherichia coli K-12 BW25113,BW25113_0166,1,0.8764358
C018,Escherichia coli K-12 BW25113,BW25113_0167,0,0.61038244
C018,Escherichia coli K-12 BW25113,BW25113_0168,1,0.9511042
C018,Escherichia coli K-12 BW25113,BW25113_0169,1,0.9286529
C018,Escherichia coli K-12 BW25113,BW25113_0170,1,0.9757824
C018,Escherichia coli K-12 BW25113,BW25113_0171,1,0.9681202
C018,Escherichia coli K-12 BW25113,BW25113_0172,1,0.9248859
C018,Escherichia coli K-12 BW25113,BW25113_0173,1,0.9680191
C018,Escherichia coli K-12 BW25113,BW25113_0174,1,0.93115324
C018,Escherichia coli K-12 BW25113,BW25113_0175,1,0.99124724
C018,Escherichia coli K-12 BW25113,BW25113_0176,1,0.9780975
C018,Escherichia coli K-12 BW25113,BW25113_0177,1,0.9906623
C018,Escherichia coli K-12 BW25113,BW25113_0178,0,0.6102155
C018,Escherichia coli K-12 BW25113,BW25113_0179,1,0.98929685
C018,Escherichia coli K-12 BW25113,BW25113_0180,1,0.9934411
C018,Escherichia coli K-12 BW25113,BW25113_0181,1,0.9940789
C018,Escherichia coli K-12 BW25113,BW25113_0182,1,0.9934989
C018,Escherichia coli K-12 BW25113,BW25113_0183,0,0.74977666
C018,Escherichia coli K-12 BW25113,BW25113_0184,1,0.946269
C018,Escherichia coli K-12 BW25113,BW25113_0185,1,0.8998177
C018,Escherichia coli K-12 BW25113,BW25113_0186,0,0.0025027655
C018,Escherichia coli K-12 BW25113,BW25113_0187,0,0.004379406
C018,Escherichia coli K-12 BW25113,BW25113_0188,1,0.92942685
C018,Escherichia coli K-12 BW25113,BW25113_0189,0,0.22285528
C018,Escherichia coli K-12 BW25113,BW25113_0190,0,0.002253757
C018,Escherichia coli K-12 BW25113,BW25113_0191,0,0.0033120385
C018,Escherichia coli K-12 BW25113,BW25113_0192,0,0.016306454
C018,Escherichia coli K-12 BW25113,BW25113_0193,0,0.09906316
C018,Escherichia coli K-12 BW25113,BW25113_0194,1,0.9160643
C018,Escherichia coli K-12 BW25113,BW25113_0195,0,0.047319066
C018,Escherichia coli K-12 BW25113,BW25113_0196,0,0.00014643687
C018,Escherichia coli K-12 BW25113,BW25113_0197,0,0.03310393
C018,Escherichia coli K-12 BW25113,BW25113_0198,0,0.034515887
C018,Escherichia coli K-12 BW25113,BW25113_0199,0,0.012494788
C018,Escherichia coli K-12 BW25113,BW25113_0200,0,0.018674338
C018,Escherichia coli K-12 BW25113,BW25113_0207,0,0.064491406
C018,Escherichia coli K-12 BW25113,BW25113_0208,0,0.0066759884
C018,Escherichia coli K-12 BW25113,BW25113_0209,0,0.082499
C018,Escherichia coli K-12 BW25113,BW25113_0210,0,0.007654062
C018,Escherichia coli K-12 BW25113,BW25113_0211,0,0.017565055
C018,Escherichia coli K-12 BW25113,BW25113_0212,0,0.6776056
C018,Escherichia coli K-12 BW25113,BW25113_0213,0,0.0046620285
C018,Escherichia coli K-12 BW25113,BW25113_0214,0,0.43087527
C018,Escherichia coli K-12 BW25113,BW25113_0215,0,0.9349697
C018,Escherichia coli K-12 BW25113,BW25113_0217,0,0.008028834
C018,Escherichia coli K-12 BW25113,BW25113_0218,0,0.029579133
C018,Escherichia coli K-12 BW25113,BW25113_0219,0,0.00059745467
C018,Escherichia coli K-12 BW25113,BW25113_0220,0,0.00174182
C018,Escherichia coli K-12 BW25113,BW25113_0221,0,0.047634304
C018,Escherichia coli K-12 BW25113,BW25113_0222,0,0.85734034
