file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.26473662
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.36044422
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.3521379
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.34554932
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.30184394
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.4136379
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.076481394
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.28017116
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.15536705
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.19013849
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.18961018
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0830019
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.83718985
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.6323427
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.11294807
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.3223817
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.38662267
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.16339768
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.015229186
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.07103875
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.75983375
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.37686688
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.7659949
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.94041383
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.8765294
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.44835955
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.74545616
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.061290096
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.8054907
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.6024752
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.5730851
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.4831608
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.35382354
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.06918536
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.18970259
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.08413773
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.2237269
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.34389123
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.07996775
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.16159657
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.15193984
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.4667157
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.12506512
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.12730803
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.45293882
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.7254923
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.17291003
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.05819894
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.61645615
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.77582854
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.6048003
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.8919827
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.2898606
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.37651825
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.41092056
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.24008268
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.14903769
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.054621965
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.18681939
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.08346269
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.34869424
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.024433635
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.2242467
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.21561386
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.34632832
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.49625012
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.40043926
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.53631127
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.46371514
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.053900577
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.25864604
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.3774495
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.16534705
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.59206134
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.63803786
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.8945383
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.8809232
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.7904226
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.82758325
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.90403146
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.82580256
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.86728895
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.8130569
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.7180893
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.63210094
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.85763633
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.89541924
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.81354696
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.90075976
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.12362909
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.90108997
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.35455492
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.46366712
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.13932887
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.87110287
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.4179112
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.24929057
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.059108205
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,0.03072957
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.42275465
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,0.0762702
C018,Escherichia coli K-12 BW25113,BW25113_0111,0,0.12341406
C018,Escherichia coli K-12 BW25113,BW25113_0112,0,0.10019984
C018,Escherichia coli K-12 BW25113,BW25113_0113,0,0.11638062
C018,Escherichia coli K-12 BW25113,BW25113_0114,0,0.63646173
C018,Escherichia coli K-12 BW25113,BW25113_0115,0,0.70442367
C018,Escherichia coli K-12 BW25113,BW25113_0116,0,0.82310236
C018,Escherichia coli K-12 BW25113,BW25113_0117,0,0.14283814
C018,Escherichia coli K-12 BW25113,BW25113_0118,0,0.4245908
C018,Escherichia coli K-12 BW25113,BW25113_0119,0,0.11978841
C018,Escherichia coli K-12 BW25113,BW25113_0120,0,0.17627428
C018,Escherichia coli K-12 BW25113,BW25113_0121,0,0.09908047
C018,Escherichia coli K-12 BW25113,BW25113_0122,0,0.15592326
C018,Escherichia coli K-12 BW25113,BW25113_0123,0,0.27843547
C018,Escherichia coli K-12 BW25113,BW25113_0124,0,0.38744557
C018,Escherichia coli K-12 BW25113,BW25113_0125,0,0.5469882
C018,Escherichia coli K-12 BW25113,BW25113_0126,1,0.40222448
C018,Escherichia coli K-12 BW25113,BW25113_0127,0,0.52241117
C018,Escherichia coli K-12 BW25113,BW25113_0128,0,0.25465828
C018,Escherichia coli K-12 BW25113,BW25113_0129,0,0.08263068
C018,Escherichia coli K-12 BW25113,BW25113_0130,0,0.23004659
C018,Escherichia coli K-12 BW25113,BW25113_0131,0,0.14960878
C018,Escherichia coli K-12 BW25113,BW25113_0132,0,0.20729885
C018,Escherichia coli K-12 BW25113,BW25113_0133,0,0.60650474
C018,Escherichia coli K-12 BW25113,BW25113_0134,0,0.72104406
C018,Escherichia coli K-12 BW25113,BW25113_0135,0,0.17858289
C018,Escherichia coli K-12 BW25113,BW25113_0136,0,0.068108924
C018,Escherichia coli K-12 BW25113,BW25113_0137,0,0.07782542
C018,Escherichia coli K-12 BW25113,BW25113_0138,0,0.13756765
C018,Escherichia coli K-12 BW25113,BW25113_0139,0,0.24742097
C018,Escherichia coli K-12 BW25113,BW25113_0140,0,0.092742726
C018,Escherichia coli K-12 BW25113,BW25113_0141,0,0.054826237
C018,Escherichia coli K-12 BW25113,BW25113_0142,1,0.6877509
C018,Escherichia coli K-12 BW25113,BW25113_0143,0,0.64000154
C018,Escherichia coli K-12 BW25113,BW25113_0144,0,0.3337765
C018,Escherichia coli K-12 BW25113,BW25113_0145,0,0.477615
C018,Escherichia coli K-12 BW25113,BW25113_0146,0,0.17875786
C018,Escherichia coli K-12 BW25113,BW25113_0147,0,0.221038
C018,Escherichia coli K-12 BW25113,BW25113_0148,0,0.5464996
C018,Escherichia coli K-12 BW25113,BW25113_0149,0,0.42965987
C018,Escherichia coli K-12 BW25113,BW25113_0150,0,0.13961521
C018,Escherichia coli K-12 BW25113,BW25113_0151,0,0.25273034
C018,Escherichia coli K-12 BW25113,BW25113_0152,0,0.15048492
C018,Escherichia coli K-12 BW25113,BW25113_0153,0,0.35441813
C018,Escherichia coli K-12 BW25113,BW25113_0154,1,0.55154395
C018,Escherichia coli K-12 BW25113,BW25113_0155,0,0.2274075
C018,Escherichia coli K-12 BW25113,BW25113_0156,1,0.76947975
C018,Escherichia coli K-12 BW25113,BW25113_0157,0,0.19086881
C018,Escherichia coli K-12 BW25113,BW25113_0158,0,0.36913696
C018,Escherichia coli K-12 BW25113,BW25113_0159,0,0.63773257
C018,Escherichia coli K-12 BW25113,BW25113_0160,0,0.29060984
C018,Escherichia coli K-12 BW25113,BW25113_0161,0,0.30766866
C018,Escherichia coli K-12 BW25113,BW25113_0162,0,0.1369877
C018,Escherichia coli K-12 BW25113,BW25113_0163,0,0.39268512
C018,Escherichia coli K-12 BW25113,BW25113_0164,0,0.33233953
C018,Escherichia coli K-12 BW25113,BW25113_0166,1,0.69769716
C018,Escherichia coli K-12 BW25113,BW25113_0167,0,0.37158832
C018,Escherichia coli K-12 BW25113,BW25113_0168,1,0.61930496
C018,Escherichia coli K-12 BW25113,BW25113_0169,1,0.77760553
