file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.123969145
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.23049192
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.035665043
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.4044032
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.052097358
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.13612424
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.048891738
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.08694145
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.38896814
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.018978644
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.14012139
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.014784977
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.71444625
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.6538625
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.003615833
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.1308989
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.099952474
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.007137486
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.03208297
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.05409129
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8355238
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.7785503
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.8454462
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9642249
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9514301
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.12946537
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.96083474
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.014724663
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.8842881
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.6267833
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.7890267
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.14316031
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.007358358
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.009979862
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.012188948
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.0054764925
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.043400943
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.21842098
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.036288172
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.037236538
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.089695215
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.0029965446
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.004445903
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0050617605
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.13323109
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9901603
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.18094824
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.0028676712
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.44943866
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.78323865
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.6839725
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.9893995
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.01115375
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.085646
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.020229682
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.04543022
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.014633192
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.010599794
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.011741175
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.0038897383
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.09660481
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.001635979
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.25029406
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.04382659
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.35239428
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.6289415
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.35027906
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.10033018
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.94787824
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.014698308
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.7239781
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.17339318
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.0155424075
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.4180966
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.87098664
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.9489481
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.98415226
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.9176465
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.97388196
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.9428202
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.95938665
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.98377293
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.9717145
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.9477251
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.7590424
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.99618286
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.9766043
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.9699027
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.9062064
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.19919522
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.9447014
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.64998657
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.12578416
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.005692561
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.91107774
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.39809453
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.00669717
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.21420248
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,0.00139601
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.21558613
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,0.022468284
C018,Escherichia coli K-12 BW25113,BW25113_0111,0,0.09880532
C018,Escherichia coli K-12 BW25113,BW25113_0112,0,0.036596365
C018,Escherichia coli K-12 BW25113,BW25113_0113,0,0.007253786
C018,Escherichia coli K-12 BW25113,BW25113_0114,0,0.7744076
C018,Escherichia coli K-12 BW25113,BW25113_0115,0,0.66865975
C018,Escherichia coli K-12 BW25113,BW25113_0116,0,0.8782928
C018,Escherichia coli K-12 BW25113,BW25113_0117,0,0.007778604
C018,Escherichia coli K-12 BW25113,BW25113_0118,0,0.7137887
C018,Escherichia coli K-12 BW25113,BW25113_0119,0,0.05440438
C018,Escherichia coli K-12 BW25113,BW25113_0120,0,0.23225075
C018,Escherichia coli K-12 BW25113,BW25113_0121,0,0.04226163
C018,Escherichia coli K-12 BW25113,BW25113_0122,0,0.124422416
C018,Escherichia coli K-12 BW25113,BW25113_0123,0,0.0135133965
C018,Escherichia coli K-12 BW25113,BW25113_0124,0,0.4059013
C018,Escherichia coli K-12 BW25113,BW25113_0125,0,0.08584964
C018,Escherichia coli K-12 BW25113,BW25113_0126,1,0.9664247
C018,Escherichia coli K-12 BW25113,BW25113_0127,0,0.17440918
C018,Escherichia coli K-12 BW25113,BW25113_0128,0,0.023124304
C018,Escherichia coli K-12 BW25113,BW25113_0129,0,0.09601669
C018,Escherichia coli K-12 BW25113,BW25113_0130,0,0.08382292
C018,Escherichia coli K-12 BW25113,BW25113_0131,0,0.11812908
C018,Escherichia coli K-12 BW25113,BW25113_0132,0,0.031040827
C018,Escherichia coli K-12 BW25113,BW25113_0133,0,0.82474375
C018,Escherichia coli K-12 BW25113,BW25113_0134,0,0.634515
C018,Escherichia coli K-12 BW25113,BW25113_0135,0,0.050192557
C018,Escherichia coli K-12 BW25113,BW25113_0136,0,0.30394447
C018,Escherichia coli K-12 BW25113,BW25113_0137,0,0.0010520628
C018,Escherichia coli K-12 BW25113,BW25113_0138,0,0.16302943
C018,Escherichia coli K-12 BW25113,BW25113_0139,0,0.008594387
C018,Escherichia coli K-12 BW25113,BW25113_0140,0,0.01509354
C018,Escherichia coli K-12 BW25113,BW25113_0141,0,0.0059378906
C018,Escherichia coli K-12 BW25113,BW25113_0142,1,0.8719748
C018,Escherichia coli K-12 BW25113,BW25113_0143,0,0.1694098
C018,Escherichia coli K-12 BW25113,BW25113_0144,0,0.22465354
C018,Escherichia coli K-12 BW25113,BW25113_0145,0,0.68199676
C018,Escherichia coli K-12 BW25113,BW25113_0146,0,0.0116562955
