file_id,organism,locus_tag,ess,conf,conf_aamean,conf_bos,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0022182844,0.010914263,0.013902548,0.17916842,0.051550878849999995
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.36548102,0.25867066,0.3984273,0.18098749,0.3008916175
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.012484532,0.006038194,0.020046884,0.0045060865,0.010768924125
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.3473259,0.20672603,0.124681056,0.58508277,0.315953939
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.03290172,0.066945866,0.018912425,0.032962266,0.037930569250000004
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.027655441,0.21734771,0.17640318,0.006662724,0.10701726375000001
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.02017212,0.018344281,0.016366115,0.0021900388,0.014268138700000002
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.048478726,0.044183653,0.29909474,0.04149715,0.10831356725
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.5879784,0.21483034,0.13593064,0.049403243,0.24703565575
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.03303966,0.094818965,0.0016422652,0.35086933,0.12009255505
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.005888389,0.29948342,0.061952513,0.14023486,0.12688979549999999
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.012637229,0.016228804,0.012219005,0.12428298,0.0413420045
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.7324549,0.91989297,0.9138407,0.9232539,0.8723606175
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.68538654,0.88764316,0.7774868,0.5530747,0.7258978
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.02089342,0.0024387154,0.08594764,0.021428285,0.0326770151
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.5177415,0.030360214,0.3526258,0.20005624,0.2751959385
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.04192243,0.01684873,0.07542405,0.068704225,0.050724858750000004
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.009236075,0.00835297,0.003154792,0.011060685,0.0079511305
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.312672,0.050974164,0.0013366318,0.062139325,0.1067805302
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.009491203,0.0043219007,0.018918926,0.0039191195,0.0091627873
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8268571,0.95661396,0.82119036,0.9064384,0.877774955
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.37233585,0.57704043,0.489627,0.51800114,0.489251105
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.77045745,0.9635487,0.97281396,0.98398685,0.9227017399999999
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.93722624,0.9191267,0.9894944,0.9754304,0.9553194349999999
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9298551,0.9547095,0.9759856,0.961093,0.9554108
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.12448243,0.20733507,0.4234285,0.20819296,0.24085974
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9481441,0.9745524,0.9298931,0.9728905,0.956370025
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.016953604,0.008265087,0.0052081794,0.5282385,0.13966634260000002
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.90049005,0.89192027,0.9316396,0.92445755,0.9121268675
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.56787056,0.40237218,0.4789371,0.08583937,0.3837548025
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.6601023,0.54702014,0.7502769,0.74583805,0.6758093475
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.075912364,0.33452225,0.43023896,0.07998332,0.2301642235
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.021361979,0.038641572,0.003131677,0.080467954,0.0359007955
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.00015547512,0.0930987,0.0013439282,0.123231925,0.05445750708
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.001215246,0.010777402,0.061345395,4.15332e-05,0.018344894049999998
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.0025409926,0.013404567,0.0062634884,0.008657857,0.00771672625
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.38235545,0.30815774,0.032487266,0.038714238,0.19042867349999998
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.0064067435,0.09203208,0.064996995,0.15969723,0.080783262125
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.049706396,0.27800706,0.05227141,0.530784,0.2276922165
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.013084368,0.057875734,0.031860333,0.016453138,0.02981839325
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.011355342,0.06297767,0.09055999,0.046362042,0.052813761
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.0073983236,0.016586082,0.006956179,0.072341114,0.02582042465
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.0022627616,0.000693051,0.010281851,0.005296049,0.00463342815
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0014062291,0.002682377,0.08001565,0.06611306,0.037554329025
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.26635018,0.28192452,0.08413055,0.01359336,0.1614996525
