file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0001872035
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.124224424
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.012518467
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.16836275
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.055731554
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.05585582
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.06777825
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.06821785
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.17896049
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.020024743
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.5596602
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.008131459
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.85959184
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.67652464
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.057473283
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.077270195
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.1311525
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0006924229
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.04399625
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0009534282
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8523873
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.6416704
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9058173
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9795361
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.91082954
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.20003884
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.95700234
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.03420749
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.93537784
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.3602155
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.8139332
