file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0063492227
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.74282634
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.056142174
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.5537252
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.30261737
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.008483791
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0009688968
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.04063272
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.013185451
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.006091589
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0081959795
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0015714766
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9123668
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.58601236
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.07994804
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,8.96359e-05
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.015248922
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.05012731
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.0007802485
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.1415161
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.844251
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.2533747
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9074057
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.98020566
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.98153406
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.14127588
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9610889
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.025590176
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.91905856
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.14553788
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.61283344
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.004447341
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.0021737816
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.0006926278
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.01300379
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.029332813
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.121020295
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.016193632
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.040849667
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.0078111645
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.009031915
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.0009590974
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.006159813
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,6.981123e-05
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.11178373
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.90010244
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,5.674236e-05
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.030148186
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.24646895
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.69820446
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.988772
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.9980531
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.0009409774
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.00013196495
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.00024955996
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.018292597
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.016206998
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.0011517324
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,3.7075766e-05
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.002622657
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.0226532
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.0010981754
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.018227814
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.0018252548
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.5032015
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.46113616
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.042152494
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.055367976
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.7576573
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,5.6849498e-05
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.048128895
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.09900027
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.0008112075
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.93576247
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.49275684
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.97461176
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.9456457
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.9848067
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.9615441
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.9853468
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.95875823
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.97120583
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.98682773
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.94436806
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.9097721
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.9783441
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.99565387
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.9501509
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.9941977
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,6.57578e-06
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.93167925
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.06639905
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.018918155
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.014784393
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.9900767
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.13435405
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.0015763816
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.0039704004
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,3.8132115e-05
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.5993437
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,0.00096792704
C018,Escherichia coli K-12 BW25113,BW25113_0111,0,0.0048964038
C018,Escherichia coli K-12 BW25113,BW25113_0112,0,0.000121841855
C018,Escherichia coli K-12 BW25113,BW25113_0113,0,0.004418261
C018,Escherichia coli K-12 BW25113,BW25113_0114,0,0.943478
C018,Escherichia coli K-12 BW25113,BW25113_0115,0,0.8455288
C018,Escherichia coli K-12 BW25113,BW25113_0116,0,0.9754208
C018,Escherichia coli K-12 BW25113,BW25113_0117,0,0.004800839
C018,Escherichia coli K-12 BW25113,BW25113_0118,0,0.8815261
C018,Escherichia coli K-12 BW25113,BW25113_0119,0,9.626035e-05
C018,Escherichia coli K-12 BW25113,BW25113_0120,0,0.0034623868
C018,Escherichia coli K-12 BW25113,BW25113_0121,0,0.00024873353
C018,Escherichia coli K-12 BW25113,BW25113_0122,0,0.003967788
C018,Escherichia coli K-12 BW25113,BW25113_0123,0,0.0016117617
C018,Escherichia coli K-12 BW25113,BW25113_0124,0,0.56041664
C018,Escherichia coli K-12 BW25113,BW25113_0125,0,0.0012091479
C018,Escherichia coli K-12 BW25113,BW25113_0126,1,0.8876945
C018,Escherichia coli K-12 BW25113,BW25113_0127,0,0.1716074
C018,Escherichia coli K-12 BW25113,BW25113_0128,0,0.05692888
C018,Escherichia coli K-12 BW25113,BW25113_0129,0,0.017958539
C018,Escherichia coli K-12 BW25113,BW25113_0130,0,0.11054474
C018,Escherichia coli K-12 BW25113,BW25113_0131,0,0.0011910843
C018,Escherichia coli K-12 BW25113,BW25113_0132,0,0.011697264
C018,Escherichia coli K-12 BW25113,BW25113_0133,0,0.38149017
C018,Escherichia coli K-12 BW25113,BW25113_0134,0,0.16268304
C018,Escherichia coli K-12 BW25113,BW25113_0135,0,1.6383359e-06
C018,Escherichia coli K-12 BW25113,BW25113_0136,0,2.157584e-06
C018,Escherichia coli K-12 BW25113,BW25113_0137,0,7.8318684e-05
C018,Escherichia coli K-12 BW25113,BW25113_0138,0,1.2234724e-05
C018,Escherichia coli K-12 BW25113,BW25113_0139,0,0.12478018
C018,Escherichia coli K-12 BW25113,BW25113_0140,0,0.055317804
C018,Escherichia coli K-12 BW25113,BW25113_0141,0,0.0013942968
C018,Escherichia coli K-12 BW25113,BW25113_0142,1,0.28033388
C018,Escherichia coli K-12 BW25113,BW25113_0143,0,0.49194252
C018,Escherichia coli K-12 BW25113,BW25113_0144,0,0.0019119832
C018,Escherichia coli K-12 BW25113,BW25113_0145,0,0.33618164
C018,Escherichia coli K-12 BW25113,BW25113_0146,0,0.0011970601
C018,Escherichia coli K-12 BW25113,BW25113_0147,0,0.0015056509
C018,Escherichia coli K-12 BW25113,BW25113_0148,0,0.014776492
C018,Escherichia coli K-12 BW25113,BW25113_0149,0,0.12104421
C018,Escherichia coli K-12 BW25113,BW25113_0150,0,0.0033482555
C018,Escherichia coli K-12 BW25113,BW25113_0151,0,0.00035132086
C018,Escherichia coli K-12 BW25113,BW25113_0152,0,0.0015648886
C018,Escherichia coli K-12 BW25113,BW25113_0153,0,0.042453308
C018,Escherichia coli K-12 BW25113,BW25113_0154,1,0.73327494
C018,Escherichia coli K-12 BW25113,BW25113_0155,0,0.0015368413
C018,Escherichia coli K-12 BW25113,BW25113_0156,1,0.75616455
C018,Escherichia coli K-12 BW25113,BW25113_0157,0,0.0073852777
