file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.11113099
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.2498359
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.22598226
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.38554654
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.27850533
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.36580232
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.09794156
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.3070608
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.177305
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.31810293
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.021013614
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.015791103
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.81017417
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.75381523
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.18578716
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.22065951
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.23665181
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.21335204
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.013479558
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.06800281
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.7640917
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.4624262
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.8341869
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.88204074
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.8314122
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.63287324
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9041894
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.1179631
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.8983999
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.6266344
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.6447327
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.41083032
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.3032444
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.18163905
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.104700714
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.06223288
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.4517371
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.29752132
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.2372207
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.26431623
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.35535505
