file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0033591061
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.31473497
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.0031955375
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.40578622
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.014189364
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.014864124
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0003076149
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.023622237
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.0100123985
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0445165
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.022480875
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0025669045
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.8775217
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.75861293
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.002358442
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.00048410395
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.0038434768
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0015751004
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.00041322372
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,2.4971732e-06
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8131972
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.21250254
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.91789734
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9386433
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.7654417
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.0021372763
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9431733
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.019442761
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9760342
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.077094875
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.5156838
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.034298494
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.004025043
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.0039134794
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.004321755
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.00070339104
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.14564528
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.0073659196
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.08167316
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.0026442003
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.029542176
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.0002793952
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.00042227874
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.002929055
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.07239521
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9931846
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.0026004591
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.00063076295
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.013644906
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.055765893
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.83529806
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.968363
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.021578562
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.0054879677
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.0074709393
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.039112605
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,9.518366e-06
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.00043814123
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.0031323098
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.0022091684
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.0076333843
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.0066188034
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.005510889
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.53771555
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.059049327
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.19183558
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.11886205
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.018102992
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.40194485
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,6.718893e-05
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.34049237
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.16339485
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.0027276054
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.8578015
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.7441666
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.92771524
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.96702194
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.96263474
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.9291276
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.96293676
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.9693815
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.95015955
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.99639577
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.9913619
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.91647476
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.9972299
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.9831367
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.9525207
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.94744617
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.64340174
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.9354859
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.12604453
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.0031585207
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.00052462734
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.9948997
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.016021103
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.0013384612
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,5.814614e-05
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,3.796825e-05
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.04088149
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,7.192265e-05
C018,Escherichia coli K-12 BW25113,BW25113_0111,0,0.0019072308
C018,Escherichia coli K-12 BW25113,BW25113_0112,0,0.010509561
C018,Escherichia coli K-12 BW25113,BW25113_0113,0,0.03496432
C018,Escherichia coli K-12 BW25113,BW25113_0114,0,0.81428003
C018,Escherichia coli K-12 BW25113,BW25113_0115,0,0.8698049
C018,Escherichia coli K-12 BW25113,BW25113_0116,0,0.91747755
C018,Escherichia coli K-12 BW25113,BW25113_0117,0,1.3181501e-05
C018,Escherichia coli K-12 BW25113,BW25113_0118,0,0.8085626
C018,Escherichia coli K-12 BW25113,BW25113_0119,0,0.0001500948
C018,Escherichia coli K-12 BW25113,BW25113_0120,0,0.0005401359
C018,Escherichia coli K-12 BW25113,BW25113_0121,0,0.020551598
C018,Escherichia coli K-12 BW25113,BW25113_0122,0,0.04933372
C018,Escherichia coli K-12 BW25113,BW25113_0123,0,0.00647042
C018,Escherichia coli K-12 BW25113,BW25113_0124,0,0.8878759
C018,Escherichia coli K-12 BW25113,BW25113_0125,0,0.062549815
C018,Escherichia coli K-12 BW25113,BW25113_0126,1,0.8605239
C018,Escherichia coli K-12 BW25113,BW25113_0127,0,0.021244928
C018,Escherichia coli K-12 BW25113,BW25113_0128,0,0.0017548851
C018,Escherichia coli K-12 BW25113,BW25113_0129,0,0.0048457133
C018,Escherichia coli K-12 BW25113,BW25113_0130,0,0.0072465893
C018,Escherichia coli K-12 BW25113,BW25113_0131,0,0.0017046178
C018,Escherichia coli K-12 BW25113,BW25113_0132,0,0.0014017278
C018,Escherichia coli K-12 BW25113,BW25113_0133,0,0.73911935
C018,Escherichia coli K-12 BW25113,BW25113_0134,0,0.09488433
C018,Escherichia coli K-12 BW25113,BW25113_0135,0,7.332226e-06
C018,Escherichia coli K-12 BW25113,BW25113_0136,0,0.002545491
C018,Escherichia coli K-12 BW25113,BW25113_0137,0,0.00069008686
C018,Escherichia coli K-12 BW25113,BW25113_0138,0,0.0040111295
C018,Escherichia coli K-12 BW25113,BW25113_0139,0,0.0003038719
C018,Escherichia coli K-12 BW25113,BW25113_0140,0,0.0005711178
C018,Escherichia coli K-12 BW25113,BW25113_0141,0,0.00028100904
C018,Escherichia coli K-12 BW25113,BW25113_0142,1,0.59005684
C018,Escherichia coli K-12 BW25113,BW25113_0143,0,0.4985487
C018,Escherichia coli K-12 BW25113,BW25113_0144,0,0.00039417786
C018,Escherichia coli K-12 BW25113,BW25113_0145,0,0.01712952
C018,Escherichia coli K-12 BW25113,BW25113_0146,0,5.5645563e-05
C018,Escherichia coli K-12 BW25113,BW25113_0147,0,0.0025972272
C018,Escherichia coli K-12 BW25113,BW25113_0148,0,0.0027384248
C018,Escherichia coli K-12 BW25113,BW25113_0149,0,0.0031345363
C018,Escherichia coli K-12 BW25113,BW25113_0150,0,0.005010855
C018,Escherichia coli K-12 BW25113,BW25113_0151,0,0.0061573093
C018,Escherichia coli K-12 BW25113,BW25113_0152,0,0.002404558
C018,Escherichia coli K-12 BW25113,BW25113_0153,0,0.018876463
C018,Escherichia coli K-12 BW25113,BW25113_0154,1,0.7603806
C018,Escherichia coli K-12 BW25113,BW25113_0155,0,0.0029643746
C018,Escherichia coli K-12 BW25113,BW25113_0156,1,0.9016945
C018,Escherichia coli K-12 BW25113,BW25113_0157,0,0.005661492
C018,Escherichia coli K-12 BW25113,BW25113_0158,0,0.0018450911
C018,Escherichia coli K-12 BW25113,BW25113_0159,0,0.8008951
C018,Escherichia coli K-12 BW25113,BW25113_0160,0,0.004291514
C018,Escherichia coli K-12 BW25113,BW25113_0161,0,0.07312384
C018,Escherichia coli K-12 BW25113,BW25113_0162,0,0.022006132
C018,Escherichia coli K-12 BW25113,BW25113_0163,0,0.00494035
C018,Escherichia coli K-12 BW25113,BW25113_0164,0,0.101319715
C018,Escherichia coli K-12 BW25113,BW25113_0166,1,0.92987317
C018,Escherichia coli K-12 BW25113,BW25113_0167,0,0.5346531
C018,Escherichia coli K-12 BW25113,BW25113_0168,1,0.90109044
C018,Escherichia coli K-12 BW25113,BW25113_0169,1,0.9517911
C018,Escherichia coli K-12 BW25113,BW25113_0170,1,0.94719905
C018,Escherichia coli K-12 BW25113,BW25113_0171,1,0.9232835
C018,Escherichia coli K-12 BW25113,BW25113_0172,1,0.99293876
C018,Escherichia coli K-12 BW25113,BW25113_0173,1,0.98349714
C018,Escherichia coli K-12 BW25113,BW25113_0174,1,0.9899608
C018,Escherichia coli K-12 BW25113,BW25113_0175,1,0.9893611
C018,Escherichia coli K-12 BW25113,BW25113_0176,1,0.95483744
C018,Escherichia coli K-12 BW25113,BW25113_0177,1,0.9794565
C018,Escherichia coli K-12 BW25113,BW25113_0178,0,0.9015356
C018,Escherichia coli K-12 BW25113,BW25113_0179,1,0.97245353
C018,Escherichia coli K-12 BW25113,BW25113_0180,1,0.8409047
C018,Escherichia coli K-12 BW25113,BW25113_0181,1,0.98750067
C018,Escherichia coli K-12 BW25113,BW25113_0182,1,0.94673574
C018,Escherichia coli K-12 BW25113,BW25113_0183,0,0.09001188
C018,Escherichia coli K-12 BW25113,BW25113_0184,1,0.95688665
C018,Escherichia coli K-12 BW25113,BW25113_0185,1,0.9898957
C018,Escherichia coli K-12 BW25113,BW25113_0186,0,0.0036111546
C018,Escherichia coli K-12 BW25113,BW25113_0187,0,0.00083175284
C018,Escherichia coli K-12 BW25113,BW25113_0188,1,0.61157614
C018,Escherichia coli K-12 BW25113,BW25113_0189,0,0.0006178375
C018,Escherichia coli K-12 BW25113,BW25113_0190,0,0.004050137
C018,Escherichia coli K-12 BW25113,BW25113_0191,0,0.029950028
C018,Escherichia coli K-12 BW25113,BW25113_0192,0,0.00012952433
C018,Escherichia coli K-12 BW25113,BW25113_0193,0,0.00035708517
C018,Escherichia coli K-12 BW25113,BW25113_0194,1,0.97340924
C018,Escherichia coli K-12 BW25113,BW25113_0195,0,0.0035411182
C018,Escherichia coli K-12 BW25113,BW25113_0196,0,8.107109e-05
C018,Escherichia coli K-12 BW25113,BW25113_0197,0,0.06309772
C018,Escherichia coli K-12 BW25113,BW25113_0198,0,0.0010790918
C018,Escherichia coli K-12 BW25113,BW25113_0199,0,0.0788957
C018,Escherichia coli K-12 BW25113,BW25113_0200,0,0.05341343
C018,Escherichia coli K-12 BW25113,BW25113_0207,0,0.01344195
C018,Escherichia coli K-12 BW25113,BW25113_0208,0,0.47494695
C018,Escherichia coli K-12 BW25113,BW25113_0209,0,0.029615654
C018,Escherichia coli K-12 BW25113,BW25113_0210,0,0.0002987854
C018,Escherichia coli K-12 BW25113,BW25113_0211,0,0.018612606
C018,Escherichia coli K-12 BW25113,BW25113_0212,0,0.18864377
C018,Escherichia coli K-12 BW25113,BW25113_0213,0,0.0018570519
C018,Escherichia coli K-12 BW25113,BW25113_0214,0,0.0055939923
C018,Escherichia coli K-12 BW25113,BW25113_0215,0,0.92767996
C018,Escherichia coli K-12 BW25113,BW25113_0217,0,9.805424e-05
C018,Escherichia coli K-12 BW25113,BW25113_0218,0,0.0016372724
C018,Escherichia coli K-12 BW25113,BW25113_0219,0,0.00023049068
C018,Escherichia coli K-12 BW25113,BW25113_0220,0,2.328882e-05
C018,Escherichia coli K-12 BW25113,BW25113_0221,0,0.0006629419
C018,Escherichia coli K-12 BW25113,BW25113_0222,0,0.82511055
C018,Escherichia coli K-12 BW25113,BW25113_0223,0,0.00029688718
C018,Escherichia coli K-12 BW25113,BW25113_0224,0,0.00010428102
C018,Escherichia coli K-12 BW25113,BW25113_0225,0,0.0033006803
C018,Escherichia coli K-12 BW25113,BW25113_0226,0,0.08453598
C018,Escherichia coli K-12 BW25113,BW25113_0227,0,0.0007214019
C018,Escherichia coli K-12 BW25113,BW25113_0228,0,0.00024413201
C018,Escherichia coli K-12 BW25113,BW25113_0229,0,2.494191e-06
C018,Escherichia coli K-12 BW25113,BW25113_0230,0,0.13755846
C018,Escherichia coli K-12 BW25113,BW25113_0231,0,0.006158456
C018,Escherichia coli K-12 BW25113,BW25113_0232,0,0.008791421
C018,Escherichia coli K-12 BW25113,BW25113_0233,0,0.0968712
C018,Escherichia coli K-12 BW25113,BW25113_0234,0,0.002034544
C018,Escherichia coli K-12 BW25113,BW25113_0235,0,0.0015962793
C018,Escherichia coli K-12 BW25113,BW25113_0236,0,6.608352e-05
C018,Escherichia coli K-12 BW25113,BW25113_0237,0,0.1182215
C018,Escherichia coli K-12 BW25113,BW25113_0238,0,0.0071477653
