file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0037824125
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.583808
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.05347329
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.35018978
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.17461559
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.29076803
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0010104515
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.3821025
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.0347817
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.009983283
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0014784406
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.00043942573
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.93799025
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.86529917
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.03468434
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.004261281
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.020571528
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.017086824
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.00030991124
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,7.14832e-05
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8356606
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.13194263
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9006958
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9646326
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.8814462
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.5804452
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9864617
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.004009366
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9875322
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.6018288
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.79488444
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.10082131
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.031071834
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.04908114
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.011362732
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.00097242027
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.4056862
