file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0012558427
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.41060117
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.0021405974
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.4804106
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.92439234
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.13961595
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0025072133
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.019691762
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.06476939
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.013965576
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0001376205
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.06640023
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.8351393
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.8216492
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.00811553
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.0007848118
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.21375051
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0008745389
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,9.352562e-05
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0012380813
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8654543
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.4448168
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9035233
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9342227
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.8837337
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.39080256
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.97035563
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.006387537
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.98617744
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.038356416
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.7225084
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.022222212
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.01633612
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.0028679057
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.0010239634
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.006416884
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.08590141
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.00074860203
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.05566667
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.018080587
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.017987246
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.16671744
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.0033494777
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0016580343
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.019207364
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.82131994
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.040532894
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.0005907073
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.073539756
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.08764689
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.842327
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.991339
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.0021503712
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.031517234
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.0012529208
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.010040807
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.2951303
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.004958524
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.0023640345
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.0007923031
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.09299802
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.009468886
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.06984212
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.003919579
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.013083592
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.7955119
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.0012393172
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.019568099
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.29573905
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,8.197902e-05
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.008525101
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.018917613
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.033674914
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.92046905
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.75082856
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.9172908
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.9959512
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.9837595
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.9731862
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.93392867
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.96672374
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.99140996
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.92577314
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.99027246
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.9725513
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.96387243
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.9987459
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.9868997
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.98559475
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.00015304332
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.9852717
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.42389333
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.0073235687
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.0036959683
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.90261704
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.026140112
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.0002296803
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.005958402
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,2.5954287e-06
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.35572112
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,1.0606545e-06
C018,Escherichia coli K-12 BW25113,BW25113_0111,0,0.020853672
C018,Escherichia coli K-12 BW25113,BW25113_0112,0,0.0019587192
C018,Escherichia coli K-12 BW25113,BW25113_0113,0,0.0004555219
C018,Escherichia coli K-12 BW25113,BW25113_0114,0,0.95154345
C018,Escherichia coli K-12 BW25113,BW25113_0115,0,0.88958627
C018,Escherichia coli K-12 BW25113,BW25113_0116,0,0.9358818
C018,Escherichia coli K-12 BW25113,BW25113_0117,0,0.0015158398
C018,Escherichia coli K-12 BW25113,BW25113_0118,0,0.6222377
C018,Escherichia coli K-12 BW25113,BW25113_0119,0,0.0010901231
C018,Escherichia coli K-12 BW25113,BW25113_0120,0,0.012394806
C018,Escherichia coli K-12 BW25113,BW25113_0121,0,6.223819e-06
C018,Escherichia coli K-12 BW25113,BW25113_0122,0,0.010757122
C018,Escherichia coli K-12 BW25113,BW25113_0123,0,0.008369776
C018,Escherichia coli K-12 BW25113,BW25113_0124,0,0.8086799
C018,Escherichia coli K-12 BW25113,BW25113_0125,0,0.0032231247
C018,Escherichia coli K-12 BW25113,BW25113_0126,1,0.91649145
C018,Escherichia coli K-12 BW25113,BW25113_0127,0,0.025830971
C018,Escherichia coli K-12 BW25113,BW25113_0128,0,0.0020756104
C018,Escherichia coli K-12 BW25113,BW25113_0129,0,0.23451461
C018,Escherichia coli K-12 BW25113,BW25113_0130,0,0.030779589
C018,Escherichia coli K-12 BW25113,BW25113_0131,0,0.15473495
C018,Escherichia coli K-12 BW25113,BW25113_0132,0,0.0062531093
C018,Escherichia coli K-12 BW25113,BW25113_0133,0,0.61992526
C018,Escherichia coli K-12 BW25113,BW25113_0134,0,0.5429576
C018,Escherichia coli K-12 BW25113,BW25113_0135,0,0.00011401112
C018,Escherichia coli K-12 BW25113,BW25113_0136,0,0.0022553736
C018,Escherichia coli K-12 BW25113,BW25113_0137,0,2.4665727e-05
C018,Escherichia coli K-12 BW25113,BW25113_0138,0,0.008785044
C018,Escherichia coli K-12 BW25113,BW25113_0139,0,0.0016553719
C018,Escherichia coli K-12 BW25113,BW25113_0140,0,0.0022016293
C018,Escherichia coli K-12 BW25113,BW25113_0141,0,4.2533055e-05
C018,Escherichia coli K-12 BW25113,BW25113_0142,1,0.9004804
C018,Escherichia coli K-12 BW25113,BW25113_0143,0,0.2420725
C018,Escherichia coli K-12 BW25113,BW25113_0144,0,0.003102309
C018,Escherichia coli K-12 BW25113,BW25113_0145,0,0.015005829
C018,Escherichia coli K-12 BW25113,BW25113_0146,0,0.0036818206
C018,Escherichia coli K-12 BW25113,BW25113_0147,0,0.0004934956
C018,Escherichia coli K-12 BW25113,BW25113_0148,0,0.015556189
C018,Escherichia coli K-12 BW25113,BW25113_0149,0,0.024173358
C018,Escherichia coli K-12 BW25113,BW25113_0150,0,0.0008207236
C018,Escherichia coli K-12 BW25113,BW25113_0151,0,0.32174653
C018,Escherichia coli K-12 BW25113,BW25113_0152,0,0.09865499
C018,Escherichia coli K-12 BW25113,BW25113_0153,0,0.012162486
C018,Escherichia coli K-12 BW25113,BW25113_0154,1,0.63063127
C018,Escherichia coli K-12 BW25113,BW25113_0155,0,0.0068028425
C018,Escherichia coli K-12 BW25113,BW25113_0156,1,0.8765675
C018,Escherichia coli K-12 BW25113,BW25113_0157,0,0.00037547026
C018,Escherichia coli K-12 BW25113,BW25113_0158,0,0.0043269084
C018,Escherichia coli K-12 BW25113,BW25113_0159,0,0.96767646
C018,Escherichia coli K-12 BW25113,BW25113_0160,0,0.0025825864
C018,Escherichia coli K-12 BW25113,BW25113_0161,0,0.23790473
C018,Escherichia coli K-12 BW25113,BW25113_0162,0,0.0020570573
C018,Escherichia coli K-12 BW25113,BW25113_0163,0,0.08799752
C018,Escherichia coli K-12 BW25113,BW25113_0164,0,0.060167164
C018,Escherichia coli K-12 BW25113,BW25113_0166,1,0.90691125
C018,Escherichia coli K-12 BW25113,BW25113_0167,0,0.35343453
C018,Escherichia coli K-12 BW25113,BW25113_0168,1,0.9821054
C018,Escherichia coli K-12 BW25113,BW25113_0169,1,0.9446359
C018,Escherichia coli K-12 BW25113,BW25113_0170,1,0.9729576
C018,Escherichia coli K-12 BW25113,BW25113_0171,1,0.98862153
C018,Escherichia coli K-12 BW25113,BW25113_0172,1,0.9806682
C018,Escherichia coli K-12 BW25113,BW25113_0173,1,0.99219394
C018,Escherichia coli K-12 BW25113,BW25113_0174,1,0.99979395
C018,Escherichia coli K-12 BW25113,BW25113_0175,1,0.99485034
C018,Escherichia coli K-12 BW25113,BW25113_0176,1,0.9391973
C018,Escherichia coli K-12 BW25113,BW25113_0177,1,0.94569063
