file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.003334193
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.3069699
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.00027407892
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.24053569
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.4132171
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.09039983
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.016783783
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.0042755725
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.051761966
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.014491814
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0075217183
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.005806588
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.93574256
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.3582245
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.047303222
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.001497041
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.105346
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0005150587
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,9.090457e-06
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,4.21219e-05
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8280931
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.18270579
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.94953424
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.98041713
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9652317
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.34978852
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9959222
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.09075571
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.938124
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.09892487
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.73996395
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.047055118
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.0011437371
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.001306839
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,2.0120406e-05
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.00020797765
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.019957643
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.002069434
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.101380974
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.041416142
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.09987865
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.015764395
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.00013367739
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0046071047
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.016096575
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.81933075
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.06396683
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.0014526927
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.1673026
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.3350368
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.73778075
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.9954768
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.014076215
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.0019474123
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,6.8070376e-06
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.008469973
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.22463149
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.00030481405
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.002074013
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.033722814
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.18120873
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.0025026654
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.11476844
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.00025658924
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.016467998
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.6977243
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.014930863
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.010938055
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.59950715
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,1.34001775e-05
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.007871942
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.03891291
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.023614643
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.8585775
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.7719467
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.9056511
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.9954465
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.9827489
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.9204747
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.99485946
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.9094541
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.92298895
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.918469
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.99103653
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.73373765
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.9762389
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.980677
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.9798539
