file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.00031107073
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.1532247
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.0014980284
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.035713583
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.010590456
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.20002328
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0012814873
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.047169797
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.014707813
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0026474597
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.013126478
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0030850763
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9375399
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.7719848
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.00018897379
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,5.6241573e-05
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.08013945
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.000768643
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.0006578323
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,3.5992867e-10
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.72527593
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.3603257
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9824539
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9757386
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9090714
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.04261153
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9889438
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,7.062501e-07
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.96523815
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.030781016
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.83308566
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.04844606
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.018828033
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.0063362434
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,4.379163e-05
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.005493678
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.06822247
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.0022318093
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.052802373
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.0016889554
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.0019262413
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,3.0540832e-06
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.0014207128
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0007401172
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.0056142034
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.83862925
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.0017939773
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,4.2616864e-07
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.11192521
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.110704266
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.81223786
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.08466007
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.0026139773
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.0013178105
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.00803513
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.0036907115
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.0001810868
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.00034588506
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.0006037304
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.0006210367
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.0012969836
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.012945253
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.015529185
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.13750075
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.0011698869
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.08231568
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.06969403
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.050820835
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.45887473
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.0041544936
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.039475475
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.029744305
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.011162094
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.9375916
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.9436761
