file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.07181352
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.1346773
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.09452475
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.5295341
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.47643435
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.17560117
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.02819877
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.20215762
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.27991247
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.04126478
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.006925117
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0014894011
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9603171
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.8818086
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.2705943
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.15869293
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.03499949
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0013658818
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,9.39718e-05
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.000702731
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.7594265
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.2708932
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.90251493
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.97880083
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.98585576
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.55175036
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.96851647
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.20557614
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.92362034
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.5664668
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.7645134
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.122736216
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.018973079
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.017135045
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.004703021
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.08436921
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.44935337
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.057174396
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.4440914
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.49588752
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.19540738
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.03232343
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.00044914117
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.00828445
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.025295088
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.93262756
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.0026881031
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.0051119975
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.6987368
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.49953416
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.9717824
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.9983506
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.18232168
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.060287077
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.002447607
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.007973811
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.101978846
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.001402268
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.014105547
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.0013318616
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.06230053
