file_id,organism,locus_tag,ess,conf,conf_eos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.013902548,0.05427317,0.034087859
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.3984273,0.30304396,0.35073562999999996
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.020046884,0.05927424,0.039660561999999996
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.124681056,0.10231977,0.113500413
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.018912425,0.10440409,0.0616582575
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.17640318,0.24278305,0.209593115
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.016366115,0.004802279,0.010584197
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.29909474,0.30271155,0.30090314500000004
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.13593064,0.18125132,0.15859098
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0016422652,0.08937505,0.0455086576
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.061952513,0.06374784,0.0628501765
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.012219005,0.014070108,0.0131445565
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9138407,0.9146691,0.9142549
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.7774868,0.6717101,0.72459845
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.08594764,0.007981166,0.046964403
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.3526258,0.119035706,0.235830753
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.07542405,0.086042665,0.0807333575
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.003154792,0.023512518,0.013333655
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.0013366318,0.17119507,0.0862658509
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.018918926,0.003494004,0.011206464999999999
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.82119036,0.94204104,0.8816157
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.489627,0.6328952,0.5612611
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.97281396,0.87425685,0.923535405
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9894944,0.9528929,0.97119365
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9759856,0.9773791,0.9766823499999999
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.4234285,0.5440116,0.48372005
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9298931,0.98253953,0.956216315
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.0052081794,0.36975747,0.1874828247
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9316396,0.98344433,0.957541965
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.4789371,0.6023676,0.54065235
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.7502769,0.8029081,0.7765925
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.43023896,0.07538428,0.25281162
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.003131677,0.057380658,0.0302561675
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.0013439282,0.0009054978,0.0011247129999999998
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.061345395,0.027755763,0.044550579
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.0062634884,0.005630476,0.0059469822
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.032487266,0.031225737,0.0318565015
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.064996995,0.15168224,0.1083396175
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.05227141,0.010850505,0.0315609575
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.031860333,0.013080009,0.022470170999999997
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.09055999,0.0960736,0.09331679500000001
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.006956179,0.003028307,0.004992243
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.010281851,0.021256303,0.015769077
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.08001565,0.0006666394,0.0403411447
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.08413055,0.015784865,0.0499577075
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9566485,0.9771375,0.966893
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.039718896,0.009982854,0.024850874999999998
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.003025094,6.439515e-05,0.001544744575
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.57082134,0.43934125,0.505081295
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.9207987,0.8636613,0.89223
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.77107185,0.95855194,0.864811895
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.0446335,0.99156463,0.518099065
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.01373823,0.0075876107,0.01066292035
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.01657449,0.08613877,0.05135663
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.023169711,0.009577901,0.016373805999999998
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.030202936,0.069349214,0.049776075
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.023022143,0.01879509,0.020908616499999998
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.010458456,0.0028405369,0.00664949645
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.011966166,0.0024622083,0.007214187150000001
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.06510104,0.01480528,0.03995316
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.32479793,0.019771565,0.1722847475
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.0074814768,0.09676056,0.052121018399999997
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.058391638,0.20813525,0.133263444
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.33311716,0.031806618,0.18246188900000002
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.19087406,0.055457078,0.123165569
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.5407152,0.29533505,0.418025125
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.2853454,0.15835863,0.221852015
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.5953437,0.15618531,0.375764505
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.44282746,0.462632,0.45272973
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.00940221,0.026611278,0.018006743999999998
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.40889573,0.24594922,0.327422475
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.18603852,0.23378257,0.209910545
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.11231989,0.033351317,0.0728356035
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.90938,0.847802,0.8785909999999999
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.854192,0.9077454,0.8809686999999999
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.9614367,0.91626704,0.93885187
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.94811857,0.9648802,0.956499385
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.943342,0.98006195,0.961701975
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.99185365,0.9971392,0.994496425
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.9864829,0.96745455,0.9769687250000001
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.8953326,0.9195468,0.9074397000000001
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.9890723,0.99134326,0.99020778
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.98927796,0.9922495,0.9907637300000001
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.9947461,0.99867404,0.99671007
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.90862375,0.93061703,0.91962039
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.96644974,0.9791428,0.9727962699999999
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.9887454,0.97049785,0.979621625
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.95966685,0.9858517,0.972759275
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.9434226,0.98375213,0.963587365
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.15541036,0.16856703,0.16198869500000002
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.8938564,0.9180235,0.90593995
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.9324468,0.22243652,0.57744166
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.10098095,0.013596998,0.057288974
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.0007221282,0.0018907693,0.00130644875
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.9864231,0.98256314,0.98449312
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.43084753,0.20868845,0.31976799
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.0906933,0.007494603,0.0490939515
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.015322297,0.055654928,0.0354886125
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,0.09208621,0.041540384,0.066813297
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.13764845,0.2367016,0.187175025
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,0.006219046,0.00026777497,0.0032434104849999998
C018,Escherichia coli K-12 BW25113,BW25113_0111,0,0.032630187,0.09178867,0.0622094285
C018,Escherichia coli K-12 BW25113,BW25113_0112,0,0.019379972,0.08113233,0.050256151
C018,Escherichia coli K-12 BW25113,BW25113_0113,0,0.024366675,0.009371588,0.016869131500000002
