file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.00095972314
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.09620487
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.020496337
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.2912963
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.0019525756
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.030387482
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0037851715
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.19083053
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.09084694
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.013903902
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.017723652
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.00016254922
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.90681547
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.74141395
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0087658195
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.05048535
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.116703704
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.02488978
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.8954417
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.002682983
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8950308
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.3279107
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.88714564
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9908353
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9839574
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.047681693
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.922583
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.02099657
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.93089646
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.57863265
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.58980733
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.100109525
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.023075232
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.035928085
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.0004645929
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.041364152
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.041312743
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.06387341
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.21647534
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.0013233678
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.018607007
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.010026437
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.0072052875
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.098522164
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.013754276
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.8547576
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.062217284
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.023798412
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.3499277
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.3091807
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.77744514
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.9946084
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.0052467072
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.0041299043
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.0063356278
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.22960858
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.08560585
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.0012597998
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.00021754565
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.019131068
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.040951762
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.0024164154
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.047397263
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.021360543
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.7135181
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.122433566
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.01662663
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.02009495
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.60953623
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.0073787645
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.03104104
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.026580533
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.008508487
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.87642086
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.5799915
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.9141765
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.98597324
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.940935
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.97175163
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.98600566
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.9542298
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.98101276
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.9144376
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.82224244
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.6522335
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.80439883
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.9879368
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.9852683
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.98714244
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.09583402
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.9479537
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.60209966
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.018768078
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.033987742
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.93792415
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.03198306
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.016021237
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.13507107
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,0.0051971525
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.44064164
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,0.0027665298
C018,Escherichia coli K-12 BW25113,BW25113_0111,0,0.008418616
C018,Escherichia coli K-12 BW25113,BW25113_0112,0,0.022154147
C018,Escherichia coli K-12 BW25113,BW25113_0113,0,0.0008703823
C018,Escherichia coli K-12 BW25113,BW25113_0114,0,0.87765086
C018,Escherichia coli K-12 BW25113,BW25113_0115,0,0.88784903
C018,Escherichia coli K-12 BW25113,BW25113_0116,0,0.9622883
C018,Escherichia coli K-12 BW25113,BW25113_0117,0,0.0015080875
C018,Escherichia coli K-12 BW25113,BW25113_0118,0,0.91798294
C018,Escherichia coli K-12 BW25113,BW25113_0119,0,0.0038618702
C018,Escherichia coli K-12 BW25113,BW25113_0120,0,0.032277867
C018,Escherichia coli K-12 BW25113,BW25113_0121,0,0.23822543
C018,Escherichia coli K-12 BW25113,BW25113_0122,0,0.00073914847
