file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.21361765
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.5305688
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.04805535
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.4826862
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.018061398
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.06996174
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0076902453
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.087276265
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.06326558
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0039593377
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.025377791
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.010087439
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9103961
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.6856426
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.6425733
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.08322143
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.052317224
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0039500906
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.020241255
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.015691537
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.87450695
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.36485502
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.976478
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9706515
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9753914
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.34173593
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9839072
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.035631668
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9888265
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.72186136
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.7412384
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.110606976
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.0069366507
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.017382555
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.002218331
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.050745074
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.109924726
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.0741274
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.16142571
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.03322996
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.31540146
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.018340165
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.0031650898
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.007626369
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.030705461
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9023922
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.035455782
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.0022417265
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.6937942
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.49450788
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.9678982
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.92331034
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.003513017
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.08134826
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.00031643116
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.0742571
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.26516297
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.00058314926
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.0011560522
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.0042419415
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.07553635
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.078922264
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.39620516
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.15901797
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.078273036
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.52176136
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.07470838
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.29956192
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.5682056
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.004824751
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.07289635
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.16360793
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.00028507187
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.7443087
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.9257234
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.96673524
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.9899249
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.99450374
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.9872076
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.9834223
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.9548395
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.991139
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.98488694
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.9887216
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.9784297
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.99715686
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.9790116
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.9869639
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.9942316
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.005061014
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.9818326
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.6654998
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.0131714605
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.096236005
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.9564873
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.061653957
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.058026925
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,4.5361474e-05
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,0.0002072575
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.5998803
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,0.0011217903
C018,Escherichia coli K-12 BW25113,BW25113_0111,0,0.0015887402
C018,Escherichia coli K-12 BW25113,BW25113_0112,0,0.011959921
C018,Escherichia coli K-12 BW25113,BW25113_0113,0,0.00036416348
C018,Escherichia coli K-12 BW25113,BW25113_0114,0,0.81133664
C018,Escherichia coli K-12 BW25113,BW25113_0115,0,0.92353666
C018,Escherichia coli K-12 BW25113,BW25113_0116,0,0.9493356
C018,Escherichia coli K-12 BW25113,BW25113_0117,0,0.017664136
C018,Escherichia coli K-12 BW25113,BW25113_0118,0,0.6267021
C018,Escherichia coli K-12 BW25113,BW25113_0119,0,0.0013357989
C018,Escherichia coli K-12 BW25113,BW25113_0120,0,0.023062777
C018,Escherichia coli K-12 BW25113,BW25113_0121,0,0.008001273
C018,Escherichia coli K-12 BW25113,BW25113_0122,0,0.012158396
C018,Escherichia coli K-12 BW25113,BW25113_0123,0,0.009416013
C018,Escherichia coli K-12 BW25113,BW25113_0124,0,0.69575155
C018,Escherichia coli K-12 BW25113,BW25113_0125,0,0.06633914
C018,Escherichia coli K-12 BW25113,BW25113_0126,1,0.81861675
C018,Escherichia coli K-12 BW25113,BW25113_0127,0,0.34295076
C018,Escherichia coli K-12 BW25113,BW25113_0128,0,0.0041872035
C018,Escherichia coli K-12 BW25113,BW25113_0129,0,0.3532501
C018,Escherichia coli K-12 BW25113,BW25113_0130,0,0.012102312
C018,Escherichia coli K-12 BW25113,BW25113_0131,0,0.3493299
C018,Escherichia coli K-12 BW25113,BW25113_0132,0,0.004841367
C018,Escherichia coli K-12 BW25113,BW25113_0133,0,0.88159144
C018,Escherichia coli K-12 BW25113,BW25113_0134,0,0.39285293
C018,Escherichia coli K-12 BW25113,BW25113_0135,0,0.00412058
C018,Escherichia coli K-12 BW25113,BW25113_0136,0,0.004008882
C018,Escherichia coli K-12 BW25113,BW25113_0137,0,0.076214604
C018,Escherichia coli K-12 BW25113,BW25113_0138,0,0.1040474
