file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,1.4236014e-05
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.18350649
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.025326315
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.3185
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.018583937
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.05735235
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.00026601437
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.090696864
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.022111598
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0074426364
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.030928625
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0051089255
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.96866757
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.88122064
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.021658693
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.0065620546
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.016118966
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0011852488
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.09492424
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,3.773546e-05
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.79205287
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.32760382
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.87585807
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.994919
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9848968
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.1392097
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9648254
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.0015582994
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9766998
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.44280416
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.85858554
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.030147761
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.005091623
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.0025388955
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.00010458077
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.00016598734
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.09661188
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.00668672
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.10604213
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.00987618
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.0013489807
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.00032396484
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.010791244
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.00012273542
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.04420127
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.98977786
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.00032741603
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.004306841
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.1862599
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.8143587
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.95497835
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.011511665
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.0010917953
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.005974584
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.024062539
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.045115333
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.00031746883
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,5.0926632e-05
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.0018807531
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.0006121986
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.019632483
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.009622022
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.019231206
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.00980165
