file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.066513576
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.6895631
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.18424766
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.3945636
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.037227508
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.5764439
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.11105362
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.29276517
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.56569254
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.057819575
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.037189286
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.07620564
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.87770176
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.6399794
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.028444933
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.013436085
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.029360354
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.95725876
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.8838161
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.612387
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.6403464
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.3978767
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.17794324
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.98731905
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.6237207
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.09577468
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.90283525
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.028520301
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.8886268
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.23014413
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.17182805
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.121191904
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.39313203
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.030186145
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.04289929
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.1313362
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.028903708
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.016745253
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.24857868
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.096091755
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.29942116
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.10841824
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.007947568
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0071553895
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.09745937
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.970574
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.19071186
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.0708971
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.13786756
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.86021626
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.92464685
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.34094548
