file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.006305542
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.26044303
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.003425306
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.10649708
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.007814052
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.2962876
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.009546586
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.16930702
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.08915187
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.02620455
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.03964253
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.009310061
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9209075
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.8321508
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.05913526
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.38425475
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.03779257
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.02568189
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.09677244
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.011080523
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8005255
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.645707
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9155297
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.98786676
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.98261154
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.25155634
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9865501
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.005666968
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.946387
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.63597524
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.6792451
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.03377697
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.011041195
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.0050123264
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.00309843
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.0029953497
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.10405114
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.13048679
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.035943367
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.040175892
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.051031515
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.002258
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.0034614818
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0076557538
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.21278708
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9943526
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.006936713
