file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.037612207
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.42157322
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.3209554
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.55072534
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.13009655
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.38442892
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.073840864
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.45540208
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.38729584
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.24981429
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.12530537
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.014901302
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.873029
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.7845159
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.051776152
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.11356831
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.19081724
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.11019717
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.084763
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.04020136
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.77045757
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.5162637
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.894522
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9085577
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.81474864
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.43900138
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.8624723
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.01583208
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.8851128
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.7251502
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.7478961
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.37280786
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.33891416
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.079621285
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.19600707
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.1890644
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.3053612
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.14460444
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.297542
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.17144927
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.22236808
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.16081576
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.05716747
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.03169652
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.2147383
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.78947943
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.1267035
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.038352493
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.48109427
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.54131687
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.585893
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.8226263
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.40378287
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.18778335
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.2871328
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.26086712
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.095652826
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.04060864
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.041277155
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.03677505
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.30257258
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.042997383
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.14540178
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.15115717
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.51260173
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.52131456
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.413064
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.48449218
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.62307024
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.023692157
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.41835043
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.53404963
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.06469145
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.7604765
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.7308426
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.72494483
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.6540545
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.8291344
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.9083929
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.9325986
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.851412
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.85968286
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.94849765
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.8652394
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.7507179
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.81771183
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.82538545
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.91538125
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.88456887
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.09803563
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.9077983
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.3705105
