file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.073263906
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.60438806
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.00056641095
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.19165003
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.09851706
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.22908035
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0026186672
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.046799894
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.31043956
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.008472332
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.013703777
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.018087111
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.96621144
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.80463964
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.00018365966
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.0019781874
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.06229033
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0065843733
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.00039489925
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.000108753185
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8275343
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.030379679
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.7620631
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9825796
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9317963
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.40648538
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9724586
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.056866232
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9943422
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.07560619
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.67246133
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.005145569
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.008829535
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.006781528
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,2.7523378e-05
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.0075339596
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.21882877
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.020805413
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.09801245
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.18617165
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.37760055
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.13498594
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.0011691354
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0025201533
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.02983683
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9212633
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.0046089287
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.0013270905
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.086291924
