file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.1593171
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.27499923
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.13188797
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.38126457
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.3232022
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.31820405
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.047029573
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.39108783
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.32881466
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.040412817
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0074721635
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0053633163
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.90287995
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.8847948
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0706669
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.03672572
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.084549375
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.00613013
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.0032554946
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.08978149
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8862145
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.17116559
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9357151
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.88733625
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.92426145
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.27731723
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.951887
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.0010210454
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.95949304
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.45699692
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.6767388
