file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.2756544
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.32500446
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.32402858
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.51272076
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.1607636
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.2770901
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.1253145
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.36977306
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.10788024
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.22946146
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.077718
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0014862317
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.8735166
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.72177523
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.039679583
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.21800393
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.2684878
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.1566414
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.010565583
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.028752
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.85469973
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.4103587
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.88978726
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9231869
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.8742965
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.72863495
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.89849377
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.08621787
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.92328465
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.59709144
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.61003536
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.28783536
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.25190905
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.16768968
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.23475422
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.07351179
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.22922209
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.028340515
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.25275427
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.07774762
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.3001652
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.2522789
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.010452585
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.062717356
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.18097878
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.8913485
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.31148663
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.062292892
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.6288421
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.86541563
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.7287256
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.8423161
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.09055154
