file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.038055204
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.20066898
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.68890995
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.70446956
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.011892263
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.6652932
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.10006531
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.17501518
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.34039322
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.098115966
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.34010616
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.029243298
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.97002274
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.72145873
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.06157789
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.040640224
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.049996138
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0021963865
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.08451362
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0151146995
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.9527148
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.5828981
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9587516
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.98712397
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.8869192
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.23588718
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.6528626
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.22120245
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9600622
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.4727113
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.8178325
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.02794691
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.40381613
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.003674373
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.021243494
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.02458161
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.33916005
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.23458716
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.13699822
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.24953358
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.047651548
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.06716682
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.50370485
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.021600831
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.0068354593
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.69909173
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.12007279
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.053173862
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.14214003
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.20600323
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.66164446
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.9344409
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.07898562
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.1091974
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.13261148
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.030162899
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.4082324
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.09503039
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.013614642
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.29601514
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.008689641
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.03180462
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.17124717
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.0040953993
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.36243552
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.61961377
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.061091878
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.2958405
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.2866599
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.2693363
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.12134984
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.18047889
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.04469348
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.92024267
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.6523889
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.8644581
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.99003804
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.98829544
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.994808
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.98809206
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.98145527
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.9906048
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.9905461
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.97554463
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.9730006
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.9829276
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.9841085
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.96623766
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.96729726
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.24924815
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.95431334
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.27935293
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.03316457
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.014384864
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.9402124
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.08394139
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.60826206
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.20318583
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,0.043278653
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.41531456
