file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0017395548
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.074721664
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.0010917884
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.010404798
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.0022540188
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.0012847693
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0013435384
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.06345034
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.08323733
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0010097062
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.019399628
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.000100812584
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9252312
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.5022696
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,4.922044e-06
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,1.5832597e-05
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.020578722
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0009559191
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,4.9860722e-05
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.012508262
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8374711
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.48053703
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.8986973
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9834313
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9382226
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.08860831
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9779634
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.0068853158
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.98379135
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.1800351
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.029341212
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.0015705043
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.009251495
