file_id,organism,locus_tag,ess,conf,conf_bos,conf_eos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.010914263,0.013902548,0.05427317,0.026363327000000002
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.25867066,0.3984273,0.30304396,0.32004730666666664
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.006038194,0.020046884,0.05927424,0.028453106000000002
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.20672603,0.124681056,0.10231977,0.14457561866666668
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.066945866,0.018912425,0.10440409,0.06342079366666667
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.21734771,0.17640318,0.24278305,0.21217798
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.018344281,0.016366115,0.004802279,0.013170891666666669
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.044183653,0.29909474,0.30271155,0.215329981
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.21483034,0.13593064,0.18125132,0.17733743333333332
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.094818965,0.0016422652,0.08937505,0.061945426733333336
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.29948342,0.061952513,0.06374784,0.14172792433333334
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.016228804,0.012219005,0.014070108,0.014172638999999999
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.91989297,0.9138407,0.9146691,0.9161342566666667
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.88764316,0.7774868,0.6717101,0.7789466866666667
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0024387154,0.08594764,0.007981166,0.03212250713333333
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.030360214,0.3526258,0.119035706,0.16734057333333333
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.01684873,0.07542405,0.086042665,0.059438481666666675
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.00835297,0.003154792,0.023512518,0.011673426666666667
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.050974164,0.0013366318,0.17119507,0.07450195526666667
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0043219007,0.018918926,0.003494004,0.008911610233333332
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.95661396,0.82119036,0.94204104,0.90661512
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.57704043,0.489627,0.6328952,0.5665208766666666
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9635487,0.97281396,0.87425685,0.93687317
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9191267,0.9894944,0.9528929,0.9538380000000001
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9547095,0.9759856,0.9773791,0.9693580666666666
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.20733507,0.4234285,0.5440116,0.3915917233333334
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9745524,0.9298931,0.98253953,0.9623283433333333
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.008265087,0.0052081794,0.36975747,0.1277435788
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.89192027,0.9316396,0.98344433,0.9356680666666666
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.40237218,0.4789371,0.6023676,0.49455896
