file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.013902548
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.3984273
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.020046884
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.124681056
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.018912425
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.17640318
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.016366115
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.29909474
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.13593064
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0016422652
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.061952513
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.012219005
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9138407
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.7774868
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.08594764
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.3526258
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.07542405
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.003154792
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.0013366318
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.018918926
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.82119036
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.489627
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.97281396
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9894944
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9759856
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.4234285
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9298931
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.0052081794
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9316396
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.4789371
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.7502769
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.43023896
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.003131677
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.0013439282
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.061345395
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.0062634884
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.032487266
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.064996995
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.05227141
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.031860333
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.09055999
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.006956179
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.010281851
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.08001565
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.08413055
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9566485
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.039718896
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.003025094
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.57082134
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.9207987
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.77107185
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.0446335
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.01373823
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.01657449
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.023169711
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.030202936
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.023022143
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.010458456
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.011966166
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.06510104
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.32479793
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.0074814768
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.058391638
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.33311716
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.19087406
