file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.004554559
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.10781143
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.04539797
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.2995167
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.084571354
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.35033965
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0073592006
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.1148328
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.33343053
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.20783645
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.03755503
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.020579442
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9437954
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.813064
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.024402745
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.25894234
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.09925882
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0028786054
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.27776688
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0010743262
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.9047231
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.66545886
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.97928077
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9847585
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9907864
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.7027292
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9470069
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.0033401374
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.8793542
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.56975144
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.80448556
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.047461938
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.0130787045
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.030638294
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.00068675046
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.00040031367
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.54666924
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.02232169
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.07534466
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.11727839
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.029599413
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.13178197
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.0090803895
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.46266267
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.012488882
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.99114776
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.027125783
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.03193439
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.43861535
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.4259358
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.9379707
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.9796394
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.07899625
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.0140404245
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.004752707
