file_id,organism,locus_tag,ess,conf,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0028065036,0.1841545,0.0934805018
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.057683915,0.30965227,0.1836680925
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.013576944,0.011370464,0.012473704
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.5155601,0.72495395,0.6202570249999999
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.005335719,0.02778585,0.016560784500000002
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.029885553,0.03652062,0.0332030865
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.010686471,0.000791538,0.0057390044999999995
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.08513819,0.088201016,0.086669603
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.0478353,0.4801474,0.26399135
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.023725843,0.06639679,0.0450613165
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0024890455,0.012204867,0.00734695625
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0026131421,0.006251838,0.00443249005
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.92819536,0.8841402,0.9061677800000001
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.8788647,0.72377735,0.801321025
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.00039715538,0.00018526442,0.0002912099
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.0027508289,0.096231215,0.04949102195
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.12354145,0.16303779,0.14328962
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.06539698,0.02355563,0.044476304999999994
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.03318478,5.5997592e-05,0.016620388796
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.08296162,0.027999837,0.0554807285
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.88960636,0.88274443,0.886175395
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.39735615,0.14758241,0.27246928000000004
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9688709,0.96517944,0.96702517
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.98907673,0.985502,0.987289365
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9777616,0.7782213,0.87799145
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.13695194,0.20509936,0.17102565
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.81690973,0.98598844,0.901449085
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.13255906,0.019874662,0.076216861
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9450548,0.9924867,0.96877075
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.6526708,0.06517403,0.358922415
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.6072535,0.47649446,0.54187398
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.06755967,0.49885258,0.283206125
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.039856136,0.08187694,0.060866538
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.0031673291,0.0812784,0.04222286455
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.008312511,0.023606839,0.015959675
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.003540077,0.4155355,0.2095377885
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.02237788,0.15386073,0.088119305
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.2055401,0.019962756,0.112751428
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.091955654,0.06834329,0.080149472
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.09819964,0.00082550605,0.049512573025
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.0051229903,0.07813274,0.041627865150000005
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.18551062,0.020354131,0.10293237549999999
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.015990041,0.0040410357,0.01001553835
