file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.06316376
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.09437583
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.10972117
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.23601401
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.18435101
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.18451133
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.03140128
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.3379532
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.19288944
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.09623798
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.11675646
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0016577651
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9391977
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.8217182
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.005381208
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.062561244
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.13653395
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.048730854
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.005323409
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.023832217
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.81385756
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.43500674
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.97311723
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9559659
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.8562399
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.16189083
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.91966486
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.0039347755
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9432809
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.38649806
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.51143426
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.021877287
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.027719187
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.024003511
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.0650095
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.0008195669
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.42753562
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.047785003
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.46514273
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.08827519
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.0462014
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.11660674
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.036336012
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0005659622
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.08145499
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.8718455
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.009954063
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.010874945
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.76922065
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.51153296
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.7799695
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.9622932
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.016951624
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.01438604
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.115337916
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.30092192
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.0127779655
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.00034436403
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.0018492523
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.005859008
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.07100796
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.009833273
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.025555497
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.16447301
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.36232117
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.23833093
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.14895767
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.16399695
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.9207681
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.0011354716
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.08297069
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.08576144
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.0037172309
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.8552655
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.85238904
