file_id,organism,locus_tag,ess,conf,conf_eos,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.11113099,0.26473662,0.22505835,0.20030865333333334
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.2498359,0.36044422,0.8008562,0.47037877333333333
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.22598226,0.3521379,0.050524123,0.20954809433333332
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.38554654,0.34554932,0.6071297,0.4460751866666666
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.27850533,0.30184394,0.1037867,0.2280453233333333
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.36580232,0.4136379,0.17091724,0.31678582
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.09794156,0.076481394,0.06363505,0.079352668
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.3070608,0.28017116,0.5026325,0.36328815333333336
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.177305,0.15536705,0.10619846,0.14629017
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.31810293,0.19013849,0.12859772,0.21227971333333337
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.021013614,0.18961018,0.042228326,0.08428403999999999
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.015791103,0.0830019,0.032080814,0.04362460566666667
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.81017417,0.83718985,0.87975913,0.8423743833333334
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.75381523,0.6323427,0.7708335,0.7189971433333332
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.18578716,0.11294807,0.021878103,0.106871111
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.22065951,0.3223817,0.044420887,0.195820699
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.23665181,0.38662267,0.13837087,0.25388178333333333
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.21335204,0.16339768,0.09852075,0.15842348999999997
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.013479558,0.015229186,0.16381827,0.06417567133333334
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.06800281,0.07103875,0.028000388,0.05568064933333333
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.7640917,0.75983375,0.81142265,0.7784493666666666
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.4624262,0.37686688,0.25610808,0.36513372
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.8341869,0.7659949,0.9441373,0.8481063666666667
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.88204074,0.94041383,0.9471594,0.9232046566666666
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.8314122,0.8765294,0.88642585,0.86478915
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.63287324,0.44835955,0.47517595,0.5188029133333334
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9041894,0.74545616,0.90116656,0.8502707066666667
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.1179631,0.061290096,0.00670513,0.06198610866666667
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.8983999,0.8054907,0.98598284,0.89662448
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.6266344,0.6024752,0.5123285,0.5804793666666667
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.6447327,0.5730851,0.76028156,0.6593664533333334
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.41083032,0.4831608,0.004594278,0.299528466
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.3032444,0.35382354,0.13415161,0.26373985
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.18163905,0.06918536,0.027640997,0.09282180233333333
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.104700714,0.18970259,0.0022217827,0.09887502890000001
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.06223288,0.08413773,0.026268262,0.057546290666666666
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.4517371,0.2237269,0.64602625,0.44049675000000005
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.29752132,0.34389123,0.042048432,0.22782032733333332
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.2372207,0.07996775,0.40354607,0.24024484
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.26431623,0.16159657,0.129728,0.18521359999999998
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.35535505,0.15193984,0.159453,0.2222492966666667
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.080189146,0.4667157,0.016554924,0.18781992333333333
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.14093466,0.12506512,0.036815193,0.10093832433333334
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.011391581,0.12730803,0.07369277,0.07079746033333334
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.09885694,0.45293882,0.10391451,0.21857009000000002
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.86255544,0.7254923,0.93802214,0.8420232933333333
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.058563523,0.17291003,0.23573896,0.15573750433333333
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.023550099,0.05819894,0.17146473,0.08440458966666668
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.6381509,0.61645615,0.6574645,0.6373571833333332
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.57080716,0.77582854,0.42100444,0.58921338
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.6817356,0.6048003,0.8623226,0.7162861666666668
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.93835986,0.8919827,0.8949517,0.90843142
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.11004509,0.2898606,0.054830812,0.15157883400000002
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.074843675,0.37651825,0.20081538,0.21739243499999997
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.36959794,0.41092056,0.097109474,0.292542658
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.27986178,0.24008268,0.067512,0.19581882000000003
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.060410354,0.14903769,0.111062944,0.106836996
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.04540042,0.054621965,0.124886766,0.07496971699999999
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.077194974,0.18681939,0.14714085,0.137051738
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.047933027,0.08346269,0.017209059,0.04953492533333334
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.14434877,0.34869424,0.21407396,0.23570565666666665
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.03544733,0.024433635,0.036734108,0.03220502433333333
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.14520665,0.2242467,0.16091496,0.1767894366666667
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.11948261,0.21561386,0.17341211,0.16950286
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.59076536,0.34632832,0.54495704,0.4940169066666667
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.4981397,0.49625012,0.5633885,0.51925944
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.4172316,0.40043926,0.15021817,0.3226296766666667
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.39640933,0.53631127,0.322054,0.41825819999999997
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.65125465,0.46371514,0.54188836,0.55228605
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.14287241,0.053900577,0.017739955,0.071504314
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.39402124,0.25864604,0.31486118,0.3225094866666667
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.42753404,0.3774495,0.26594675,0.3569767633333334
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.15933658,0.16534705,0.014395049,0.11302622633333333
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.7403386,0.59206134,0.77331114,0.7019036933333332
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.7710102,0.63803786,0.71210134,0.7070498000000001
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.9245738,0.8945383,0.81672364,0.8786119133333333
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.8968467,0.8809232,0.96077675,0.9128488833333334
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.8320253,0.7904226,0.9226605,0.8483694666666667
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.86515933,0.82758325,0.90756845,0.8667703433333332
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.915622,0.90403146,0.9775178,0.9323904199999999
