file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.1962996
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.5203923
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.0037901576
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.39403936
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.2006672
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.27682275
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.03571251
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.39891466
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.29400396
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.06324073
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.024466278
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.02022181
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.81479937
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.7056962
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.17837341
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.12271072
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.2028576
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.021043206
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.0063847774
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0015483533
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.77328736
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.2696631
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.98397714
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.979765
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.95681155
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.31182343
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9641605
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.35098013
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9834684
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.7103648
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.8356094
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.2184877
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.013379681
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.07587881
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.016396502
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.14487617
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.19935746
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.037738983
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.28928196
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.168693
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.40152588
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.25620967
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.00264664
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.004986524
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.023670593
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9562206
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.013159509
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.02618667
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.4817715
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.4487492
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.9073817
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.9908676
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.047135744
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.051980212
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.060326934
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.023949351
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.11386095
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.024150725
