file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.00010983319
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.18854156
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.016876096
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.07438921
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.047650088
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.2629871
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,9.304164e-06
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.11563035
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.0069469553
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0013606818
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.09839572
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.00097476476
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.8932518
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.8100999
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.006844079
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,2.899161e-06
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.00014198072
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.00040695505
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.0012826859
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,4.467362e-05
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.70254123
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.11394251
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.92359096
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.97659826
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.91469854
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.08062488
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9333076
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,2.38879e-05
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.97829026
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.10716603
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.5806253
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.041111104
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.047993187
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.0016055172
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.09401111
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.0008473348
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.41145846
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.008317155
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.017624885
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.011194339
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.015949652
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.007947869
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,1.7935785e-05
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,7.424504e-05
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.008361561
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.983952
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.0007112147
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,3.3551136e-05
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.52041906
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.25122765
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.74184793
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.00019568403
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.004770418
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.06917188
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.040366575
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.06574027
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,5.3572753e-06
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.001188776
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.00023882937
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,2.0270145e-05
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.007873149
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.024969224
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.39254367
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.24460451
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.0024546608
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.13217834
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.060944956
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.015088196
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.45492482
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.0021613305
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.03256217
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.011613712
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.047864202
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.931632
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.87678474
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.8331871
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.97818744
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.91277635
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.95387614
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.96412224
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.9732335
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.9224715
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.9840387
