file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0014684092
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.43181556
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.0034598818
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.25707075
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.15875064
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.14507855
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.03783301
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.34454358
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.05993657
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.002265058
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.033385616
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.013329412
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.86631495
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.79783225
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0367433
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.16473721
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.26015314
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0074116774
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.024252452
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.00033179446
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.9111437
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.6701329
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9443825
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9967083
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9306056
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.26462704
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9282569
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.0049853437
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.97816306
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.24160534
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.95228875
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.00970491
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.05481333
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.00053945725
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.019820109
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.00015362728
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.09946353
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.053958114
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.0089935595
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.10144503
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.004371191
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.0040374408
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.009005403
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0010110288
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.15330277
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9660857
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.0009416582
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.0011981633
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.394397
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.9673017
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.97645515
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.09930549
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.0043650605
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.065323964
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.011311307
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.0090664085
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.0005479515
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,1.41104065e-05
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.0015563434
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.038970463
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.0040058275
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.00025163408
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.009807876
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.003353718
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.14936945
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.51017505
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.32901114
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.26356435
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.5716106
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.0013901991
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.08350968
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.018907154
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.04179007
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.87584925
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.76271945
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.8808072
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.97179735
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.93303156
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.9888707
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.95724916
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.8954675
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.9697955
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.9730901
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.9886855
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.9367426
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.99754024
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.9982222
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.98778605
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.99270636
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.020276215
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.8684458
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.44959912
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.18074998
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.00039733603
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.92342544
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.07092429
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.4498225
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.0045137075
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,0.010718111
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.091940716
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,0.0033375113
C018,Escherichia coli K-12 BW25113,BW25113_0111,0,0.04738903
C018,Escherichia coli K-12 BW25113,BW25113_0112,0,0.019557828
C018,Escherichia coli K-12 BW25113,BW25113_0113,0,0.0016420486
C018,Escherichia coli K-12 BW25113,BW25113_0114,0,0.8365884
C018,Escherichia coli K-12 BW25113,BW25113_0115,0,0.9573309
C018,Escherichia coli K-12 BW25113,BW25113_0116,0,0.920189
C018,Escherichia coli K-12 BW25113,BW25113_0117,0,0.008869845
C018,Escherichia coli K-12 BW25113,BW25113_0118,0,0.45858553
C018,Escherichia coli K-12 BW25113,BW25113_0119,0,0.045860294
C018,Escherichia coli K-12 BW25113,BW25113_0120,0,0.010992219
C018,Escherichia coli K-12 BW25113,BW25113_0121,0,0.0010289012
C018,Escherichia coli K-12 BW25113,BW25113_0122,0,0.033420287
C018,Escherichia coli K-12 BW25113,BW25113_0123,0,0.08022758
C018,Escherichia coli K-12 BW25113,BW25113_0124,0,0.7911933
C018,Escherichia coli K-12 BW25113,BW25113_0125,0,0.11853204
C018,Escherichia coli K-12 BW25113,BW25113_0126,1,0.9443972
C018,Escherichia coli K-12 BW25113,BW25113_0127,0,0.14812504
C018,Escherichia coli K-12 BW25113,BW25113_0128,0,0.19301082
C018,Escherichia coli K-12 BW25113,BW25113_0129,0,0.030641714
C018,Escherichia coli K-12 BW25113,BW25113_0130,0,0.09524663
C018,Escherichia coli K-12 BW25113,BW25113_0131,0,0.028313143
C018,Escherichia coli K-12 BW25113,BW25113_0132,0,0.00026137094
C018,Escherichia coli K-12 BW25113,BW25113_0133,0,0.4181618
C018,Escherichia coli K-12 BW25113,BW25113_0134,0,0.611904
C018,Escherichia coli K-12 BW25113,BW25113_0135,0,9.929096e-05
C018,Escherichia coli K-12 BW25113,BW25113_0136,0,0.0016910285
C018,Escherichia coli K-12 BW25113,BW25113_0137,0,0.19884779
C018,Escherichia coli K-12 BW25113,BW25113_0138,0,0.0022871252
C018,Escherichia coli K-12 BW25113,BW25113_0139,0,0.012267791
C018,Escherichia coli K-12 BW25113,BW25113_0140,0,0.0014073222
C018,Escherichia coli K-12 BW25113,BW25113_0141,0,0.0050324975
C018,Escherichia coli K-12 BW25113,BW25113_0142,1,0.41170576
C018,Escherichia coli K-12 BW25113,BW25113_0143,0,0.5531433
C018,Escherichia coli K-12 BW25113,BW25113_0144,0,0.007330488
C018,Escherichia coli K-12 BW25113,BW25113_0145,0,0.6162382
C018,Escherichia coli K-12 BW25113,BW25113_0146,0,0.013620239
C018,Escherichia coli K-12 BW25113,BW25113_0147,0,0.00082709576
C018,Escherichia coli K-12 BW25113,BW25113_0148,0,0.07272147
C018,Escherichia coli K-12 BW25113,BW25113_0149,0,0.14530832
C018,Escherichia coli K-12 BW25113,BW25113_0150,0,0.014210091
C018,Escherichia coli K-12 BW25113,BW25113_0151,0,0.030937228
C018,Escherichia coli K-12 BW25113,BW25113_0152,0,0.0070686494
C018,Escherichia coli K-12 BW25113,BW25113_0153,0,0.03003118
C018,Escherichia coli K-12 BW25113,BW25113_0154,1,0.8465557
C018,Escherichia coli K-12 BW25113,BW25113_0155,0,0.02250564
C018,Escherichia coli K-12 BW25113,BW25113_0156,1,0.9665595
C018,Escherichia coli K-12 BW25113,BW25113_0157,0,0.07591409
C018,Escherichia coli K-12 BW25113,BW25113_0158,0,6.2044223e-06
C018,Escherichia coli K-12 BW25113,BW25113_0159,0,0.83053464
C018,Escherichia coli K-12 BW25113,BW25113_0160,0,0.0028852017
C018,Escherichia coli K-12 BW25113,BW25113_0161,0,0.03368292
C018,Escherichia coli K-12 BW25113,BW25113_0162,0,0.0056163897
C018,Escherichia coli K-12 BW25113,BW25113_0163,0,0.25589716
C018,Escherichia coli K-12 BW25113,BW25113_0164,0,0.01834207
C018,Escherichia coli K-12 BW25113,BW25113_0166,1,0.8031112
C018,Escherichia coli K-12 BW25113,BW25113_0167,0,0.46453178
C018,Escherichia coli K-12 BW25113,BW25113_0168,1,0.9529242
C018,Escherichia coli K-12 BW25113,BW25113_0169,1,0.961324
C018,Escherichia coli K-12 BW25113,BW25113_0170,1,0.97876066
C018,Escherichia coli K-12 BW25113,BW25113_0171,1,0.93405104
C018,Escherichia coli K-12 BW25113,BW25113_0172,1,0.97605604
C018,Escherichia coli K-12 BW25113,BW25113_0173,1,0.9631678
C018,Escherichia coli K-12 BW25113,BW25113_0174,1,0.99197197
C018,Escherichia coli K-12 BW25113,BW25113_0175,1,0.99126023
C018,Escherichia coli K-12 BW25113,BW25113_0176,1,0.9659932
C018,Escherichia coli K-12 BW25113,BW25113_0177,1,0.98818624
C018,Escherichia coli K-12 BW25113,BW25113_0178,0,0.90436524
C018,Escherichia coli K-12 BW25113,BW25113_0179,1,0.9902603
C018,Escherichia coli K-12 BW25113,BW25113_0180,1,0.9823909
C018,Escherichia coli K-12 BW25113,BW25113_0181,1,0.95055133
C018,Escherichia coli K-12 BW25113,BW25113_0182,1,0.9315759
C018,Escherichia coli K-12 BW25113,BW25113_0183,0,0.36445802
C018,Escherichia coli K-12 BW25113,BW25113_0184,1,0.9855482
C018,Escherichia coli K-12 BW25113,BW25113_0185,1,0.9882509
C018,Escherichia coli K-12 BW25113,BW25113_0186,0,0.009720807
C018,Escherichia coli K-12 BW25113,BW25113_0187,0,0.04596883
C018,Escherichia coli K-12 BW25113,BW25113_0188,1,0.9867401
C018,Escherichia coli K-12 BW25113,BW25113_0189,0,0.0006781352
C018,Escherichia coli K-12 BW25113,BW25113_0190,0,0.13270001
C018,Escherichia coli K-12 BW25113,BW25113_0191,0,0.2823517
C018,Escherichia coli K-12 BW25113,BW25113_0192,0,0.32604963
C018,Escherichia coli K-12 BW25113,BW25113_0193,0,0.001557152
C018,Escherichia coli K-12 BW25113,BW25113_0194,1,0.97782946
C018,Escherichia coli K-12 BW25113,BW25113_0195,0,0.3556742
C018,Escherichia coli K-12 BW25113,BW25113_0196,0,0.014107571
C018,Escherichia coli K-12 BW25113,BW25113_0197,0,0.011675729
C018,Escherichia coli K-12 BW25113,BW25113_0198,0,0.0060814926
C018,Escherichia coli K-12 BW25113,BW25113_0199,0,0.010110296
C018,Escherichia coli K-12 BW25113,BW25113_0200,0,0.026311394
C018,Escherichia coli K-12 BW25113,BW25113_0207,0,0.007047973
C018,Escherichia coli K-12 BW25113,BW25113_0208,0,0.09097628
C018,Escherichia coli K-12 BW25113,BW25113_0209,0,0.0042723543
C018,Escherichia coli K-12 BW25113,BW25113_0210,0,0.0037487135
C018,Escherichia coli K-12 BW25113,BW25113_0211,0,0.12854442
C018,Escherichia coli K-12 BW25113,BW25113_0212,0,0.110768154
C018,Escherichia coli K-12 BW25113,BW25113_0213,0,0.3476674
C018,Escherichia coli K-12 BW25113,BW25113_0214,0,0.37128112
C018,Escherichia coli K-12 BW25113,BW25113_0215,0,0.92774355
C018,Escherichia coli K-12 BW25113,BW25113_0217,0,0.00085657125
C018,Escherichia coli K-12 BW25113,BW25113_0218,0,0.123620205
C018,Escherichia coli K-12 BW25113,BW25113_0219,0,0.0040285597
C018,Escherichia coli K-12 BW25113,BW25113_0220,0,0.040673703
C018,Escherichia coli K-12 BW25113,BW25113_0221,0,0.040866245
C018,Escherichia coli K-12 BW25113,BW25113_0222,0,0.8703122
C018,Escherichia coli K-12 BW25113,BW25113_0223,0,0.28249708
C018,Escherichia coli K-12 BW25113,BW25113_0224,0,0.0203708
C018,Escherichia coli K-12 BW25113,BW25113_0225,0,0.011489195
C018,Escherichia coli K-12 BW25113,BW25113_0226,0,0.15433024
C018,Escherichia coli K-12 BW25113,BW25113_0227,0,0.0006158832
C018,Escherichia coli K-12 BW25113,BW25113_0228,0,0.00049582584
C018,Escherichia coli K-12 BW25113,BW25113_0229,0,0.32168412
C018,Escherichia coli K-12 BW25113,BW25113_0230,0,0.063560255
C018,Escherichia coli K-12 BW25113,BW25113_0231,0,0.04985951
C018,Escherichia coli K-12 BW25113,BW25113_0232,0,0.12216537
C018,Escherichia coli K-12 BW25113,BW25113_0233,0,0.20399696
C018,Escherichia coli K-12 BW25113,BW25113_0234,0,0.13649398
C018,Escherichia coli K-12 BW25113,BW25113_0235,0,0.15212555
C018,Escherichia coli K-12 BW25113,BW25113_0236,0,0.01344118
C018,Escherichia coli K-12 BW25113,BW25113_0237,0,0.082483836
C018,Escherichia coli K-12 BW25113,BW25113_0238,0,0.08000893
C018,Escherichia coli K-12 BW25113,BW25113_0239,0,0.008942319
