file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.020746859
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.34629273
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.028492412
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.10487962
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.5646497
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.08752581
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.038090672
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.24923292
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.19974855
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0017239944
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.053279016
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.11455049
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9732431
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.9123423
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.050067488
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.021517437
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.019490832
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.01685576
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.009147135
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0061295573
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.83214176
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.43446368
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9101549
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.98556685
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9649455
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.42690203
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9653162
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.002385552
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.93430346
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.5348342
