file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.03460743
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.36243966
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.03629757
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.26352045
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.052326858
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.3135836
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.019946115
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.5500909
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.18190527
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.020335551
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.025178583
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0918183
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9043761
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.8071794
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.07069498
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.2473565
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.3127102
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.006598777
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.038083598
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0077757337
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.7350019
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.5934225
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9298883
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9934968
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.99394095
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.50603634
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.96650577
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.04968795
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.89305115
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.5959893
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.6853636
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.18896104
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.00021884071
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.005278559
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.07466676
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.015339025
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.15208447
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.048013423
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.06688858
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.10460143
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.022198627
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.031612854
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.023918608
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.041771047
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.032708652
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9871651
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.011025263
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.00548973
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.6600471
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.8700785
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.7226627
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.76770145
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.008465128
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.18121535
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.046095863
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.0987703
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.034728557
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.0029748147
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.0393325
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.047164235
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.027389016
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.027384141
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.028929798
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.09309611
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.36017027
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.2505436
